"iso2_o","iso2_d","year","p"
"AUT","ALB",2009,1.0
"AUT","ALB",2010,1.0
"AUT","ALB",2013,0.0
"AUT","ALB",2005,0.6448
"AUT","ALB",2018,0.4887
"AUT","ALB",2012,0.1359
"AUT","ALB",2006,0.2015
"AUT","ALB",2007,0.637
"AUT","ARE",2008,0.0129
"AUT","ARE",2006,0.5886
"AUT","ARE",2003,0.0489
"AUT","ARE",2015,0.5582
"AUT","ARE",2007,0.3869
"AUT","ARE",2018,0.0007
"AUT","ARE",2010,0.2704
"AUT","ARE",2011,0.2461
"AUT","ARE",2016,0.4682
"AUT","ARE",2009,0.1087
"AUT","ARE",2017,0.2458
"AUT","ARE",2005,0.0712
"AUT","ARE",2013,0.0473
"AUT","ARE",2004,0.7322
"AUT","ARE",2012,0.573
"AUT","ARG",2008,0.3053
"AUT","ARG",2016,0.2475
"AUT","ARG",2011,0.0018
"AUT","ARM",2017,0.325
"AUT","AUS",2017,0.5467
"AUT","AUS",2003,0.0245
"AUT","AUS",2010,0.3319
"AUT","AUS",2012,0.5819
"AUT","AUS",2018,0.2003
"AUT","AUS",2008,0.5538
"AUT","AUS",2004,1.0
"AUT","AZE",2009,0.0
"AUT","AZE",2007,0.7431
"AUT","AZE",2003,0.5499
"AUT","BGD",2012,0.7145
"AUT","BHR",2009,0.2983
"AUT","BHR",2008,0.2521
"AUT","BHR",2012,0.3865
"AUT","BIH",2006,0.4046
"AUT","BIH",2007,0.3877
"AUT","BIH",2003,0.9203
"AUT","BIH",2012,0.9815
"AUT","BIH",2017,0.9279
"AUT","BIH",2004,0.5689
"AUT","BIH",2009,0.7064
"AUT","BIH",2010,0.7293
"AUT","BIH",2005,0.1678
"AUT","BIH",2015,0.2573
"AUT","BIH",2011,0.3341
"AUT","BIH",2013,0.504
"AUT","BIH",2018,0.1252
"AUT","BIH",2008,0.0521
"AUT","BLR",2008,0.9673
"AUT","BLR",2012,0.2785
"AUT","BLR",2009,0.14
"AUT","BLR",2010,0.3992
"AUT","BLR",2011,0.0814
"AUT","BLR",2013,0.1275
"AUT","BLR",2014,0.3942
"AUT","BLR",2015,0.5856
"AUT","BLR",2018,0.6647
"AUT","BLR",2006,0.0
"AUT","BLR",2003,0.0
"AUT","BRA",2006,0.3808
"AUT","BRA",2017,0.2219
"AUT","BRA",2010,0.0411
"AUT","BRA",2013,0.0404
"AUT","BRA",2003,0.2919
"AUT","BRA",2004,0.1041
"AUT","BRA",2011,0.4813
"AUT","BRA",2012,0.0318
"AUT","BRA",2016,0.1835
"AUT","BRA",2015,0.0029
"AUT","BRA",2007,0.0039
"AUT","BRA",2018,0.03
"AUT","BRA",2014,0.8954
"AUT","BWA",2012,0.9837
"AUT","CAN",2007,0.6826
"AUT","CAN",2010,0.6436
"AUT","CAN",2014,0.6196
"AUT","CAN",2004,0.8978
"AUT","CAN",2016,0.1723
"AUT","CAN",2017,0.0333
"AUT","CAN",2015,0.88
"AUT","CAN",2009,0.2635
"AUT","CHE",2004,0.7652
"AUT","CHE",2011,0.7234
"AUT","CHE",2016,0.0395
"AUT","CHE",2005,1.0
"AUT","CHE",2009,0.8677
"AUT","CHE",2010,0.6207
"AUT","CHE",2006,0.0041
"AUT","CHE",2013,0.4609
"AUT","CHE",2003,0.1129
"AUT","CHE",2007,0.2185
"AUT","CHE",2008,0.8219
"AUT","CHE",2017,0.206
"AUT","CHE",2015,0.044
"AUT","CHE",2012,0.4251
"AUT","CHE",2014,0.1473
"AUT","CHL",2015,0.1722
"AUT","CHL",2006,0.2001
"AUT","CHL",2013,0.5235
"AUT","CHL",2016,0.7193
"AUT","CHN",2016,0.3885
"AUT","CHN",2017,0.0081
"AUT","CHN",2003,0.5431
"AUT","CHN",2005,0.0127
"AUT","CHN",2008,0.1226
"AUT","CHN",2010,0.8622
"AUT","CHN",2011,0.7539
"AUT","CHN",2012,0.3122
"AUT","CHN",2013,0.7361
"AUT","CHN",2014,0.1229
"AUT","CHN",2015,0.6768
"AUT","CHN",2004,0.7146
"AUT","CHN",2009,0.839
"AUT","CHN",2007,0.2425
"AUT","CHN",2006,0.3279
"AUT","CHN",2018,0.4124
"AUT","COL",2013,0.2994
"AUT","COL",2015,0.2149
"AUT","CRI",2009,0.7414
"AUT","DZA",2011,0.0
"AUT","EGY",2009,0.4288
"AUT","EGY",2010,0.3053
"AUT","GEO",2007,0.1144
"AUT","GEO",2012,0.8422
"AUT","GEO",2003,0.0
"AUT","GEO",2014,0.9896
"AUT","GEO",2018,0.7314
"AUT","GEO",2005,0.7343
"AUT","HKG",2007,0.2245
"AUT","HKG",2008,0.4519
"AUT","HKG",2004,0.2026
"AUT","HKG",2013,0.7295
"AUT","HKG",2018,0.3507
"AUT","HKG",2010,0.8178
"AUT","HKG",2017,0.8501
"AUT","HKG",2006,0.7353
"AUT","HKG",2015,1.0
"AUT","HKG",2005,0.027
"AUT","IDN",2009,0.5797
"AUT","IDN",2010,0.8951
"AUT","IDN",2012,0.2807
"AUT","IDN",2013,0.6294
"AUT","IDN",2017,1.0
"AUT","IDN",2003,0.2346
"AUT","IDN",2007,0.1097
"AUT","IDN",2018,0.2891
"AUT","IND",2010,0.0786
"AUT","IND",2016,0.7779
"AUT","IND",2007,0.2714
"AUT","IND",2008,0.0149
"AUT","IND",2017,0.0062
"AUT","IND",2015,0.2198
"AUT","IND",2018,0.0175
"AUT","IND",2014,0.6352
"AUT","IND",2011,0.5514
"AUT","IND",2005,0.1602
"AUT","IND",2012,0.3223
"AUT","IND",2013,0.0221
"AUT","IND",2009,0.1033
"AUT","IND",2004,0.1466
"AUT","IND",2006,0.0678
"AUT","IRN",2009,0.4009
"AUT","IRN",2016,0.2133
"AUT","IRN",2003,0.0
"AUT","IRQ",2003,1.0
"AUT","ISR",2011,0.6309
"AUT","JOR",2009,0.3455
"AUT","JPN",2009,0.0353
"AUT","JPN",2013,0.0909
"AUT","JPN",2011,0.855
"AUT","JPN",2014,0.3552
"AUT","JPN",2004,0.2865
"AUT","KAZ",2009,0.056
"AUT","KAZ",2008,0.8783
"AUT","KAZ",2005,0.3118
"AUT","KAZ",2015,0.1079
"AUT","KOR",2014,0.0082
"AUT","KOR",2003,0.0977
"AUT","KOR",2012,0.2824
"AUT","KOR",2013,0.5605
"AUT","KOR",2015,0.4934
"AUT","KOR",2016,0.3452
"AUT","KOR",2008,0.5838
"AUT","KOR",2010,0.2759
"AUT","KWT",2009,0.0
"AUT","KWT",2011,0.4137
"AUT","KWT",2004,0.7257
"AUT","LBY",2005,0.0
"AUT","LIE",2010,0.0
"AUT","LIE",2005,1.0
"AUT","LIE",2014,1.0
"AUT","LKA",2014,1.0
"AUT","LKA",2010,0.292
"AUT","MAR",2004,0.2357
"AUT","MAR",2012,0.0453
"AUT","MDA",2012,0.2717
"AUT","MDA",2016,0.3288
"AUT","MDA",2006,0.7245
"AUT","MDA",2007,0.6923
"AUT","MEX",2015,0.1005
"AUT","MEX",2014,0.6053
"AUT","MEX",2016,0.2858
"AUT","MEX",2018,0.2164
"AUT","MEX",2013,0.375
"AUT","MEX",2004,0.5102
"AUT","MEX",2007,0.2754
"AUT","MEX",2008,0.66
"AUT","MEX",2012,0.8117
"AUT","MEX",2017,0.763
"AUT","MEX",2010,0.7879
"AUT","MKD",2009,0.9744
"AUT","MKD",2004,0.3242
"AUT","MKD",2006,0.1088
"AUT","MKD",2007,0.9643
"AUT","MKD",2008,0.0
"AUT","MKD",2010,0.7306
"AUT","MKD",2005,0.0
"AUT","MKD",2012,0.1179
"AUT","MKD",2011,0.5531
"AUT","MMR",2013,0.3589
"AUT","MMR",2017,1.0
"AUT","MNE",2011,0.7104
"AUT","MNE",2010,0.3751
"AUT","MYS",2003,0.8216
"AUT","MYS",2004,0.5077
"AUT","MYS",2010,0.7776
"AUT","MYS",2015,0.7704
"AUT","MYS",2014,0.1448
"AUT","MYS",2011,0.0665
"AUT","NOR",2006,0.7751
"AUT","NOR",2014,0.1779
"AUT","NOR",2012,0.046
"AUT","NOR",2007,0.2158
"AUT","NZL",2006,0.7106
"AUT","NZL",2008,0.0893
"AUT","NZL",2013,0.5599
"AUT","NZL",2018,0.5806
"AUT","NZL",2011,0.0958
"AUT","OMN",2009,0.8223
