"iso2_o","iso2_d","year","p"
"AUT","ALB",2010,0.9929
"AUT","ALB",2014,0.0
"AUT","ALB",2006,0.9315
"AUT","ALB",2018,0.6907
"AUT","ALB",2012,0.2888
"AUT","ALB",2008,0.4173
"AUT","ARE",2008,0.0331
"AUT","ARE",2006,0.4535
"AUT","ARE",2004,0.05
"AUT","ARE",2016,0.9414
"AUT","ARE",2018,0.0033
"AUT","ARE",2010,0.4738
"AUT","ARE",2012,0.3697
"AUT","ARE",2014,0.0422
"AUT","ARG",2008,0.1648
"AUT","ARG",2016,0.9051
"AUT","ARG",2012,0.012
"AUT","ARM",2018,0.9909
"AUT","AUS",2018,0.2097
"AUT","AUS",2004,0.015
"AUT","AUS",2010,0.1789
"AUT","AUS",2012,0.7065
"AUT","AUS",2008,0.5975
"AUT","AZE",2010,0.0
"AUT","AZE",2008,0.7861
"AUT","AZE",2004,0.5772
"AUT","BGD",2012,0.7897
"AUT","BHR",2010,0.1384
"AUT","BHR",2008,0.2179
"AUT","BHR",2012,0.7056
"AUT","BIH",2006,0.311
"AUT","BIH",2008,0.5251
"AUT","BIH",2004,0.5954
"AUT","BIH",2012,0.52
"AUT","BIH",2018,0.7935
"AUT","BIH",2010,0.9705
"AUT","BIH",2016,0.7362
"AUT","BIH",2014,0.453
"AUT","BLR",2008,0.9852
"AUT","BLR",2012,0.1223
"AUT","BLR",2010,0.1635
"AUT","BLR",2014,0.0752
"AUT","BLR",2016,0.4682
"AUT","BLR",2018,0.5765
"AUT","BLR",2006,0.2272
"AUT","BLR",2004,0.412
"AUT","BRA",2006,0.3394
"AUT","BRA",2018,0.0066
"AUT","BRA",2010,0.0063
"AUT","BRA",2014,0.0221
"AUT","BRA",2004,0.1978
"AUT","BRA",2012,0.0687
"AUT","BRA",2016,0.143
"AUT","BRA",2008,0.0072
"AUT","BWA",2012,0.2493
"AUT","CAN",2008,0.5139
"AUT","CAN",2010,0.2156
"AUT","CAN",2014,0.8785
"AUT","CAN",2004,0.6041
"AUT","CAN",2016,0.8174
"AUT","CAN",2018,0.0476
"AUT","CHE",2004,0.2953
"AUT","CHE",2012,0.8323
"AUT","CHE",2016,0.0117
"AUT","CHE",2006,0.011
"AUT","CHE",2010,0.7095
"AUT","CHE",2014,0.4764
"AUT","CHE",2008,0.5039
"AUT","CHE",2018,0.1123
"AUT","CHL",2016,0.7386
"AUT","CHL",2006,0.0
"AUT","CHL",2014,0.5805
"AUT","CHN",2016,0.5145
"AUT","CHN",2018,0.1118
"AUT","CHN",2004,0.9806
"AUT","CHN",2006,0.1883
"AUT","CHN",2008,0.4756
"AUT","CHN",2010,0.9888
"AUT","CHN",2012,0.7737
"AUT","CHN",2014,0.5622
"AUT","COL",2014,0.2456
"AUT","COL",2016,0.2558
"AUT","CRI",2010,0.7508
"AUT","DZA",2012,0.0
"AUT","EGY",2010,0.3904
"AUT","GEO",2008,0.1792
"AUT","GEO",2012,0.9483
"AUT","GEO",2004,0.6182
"AUT","GEO",2014,0.8823
"AUT","GEO",2018,1.0
"AUT","GEO",2006,0.3444
"AUT","HKG",2008,0.1877
"AUT","HKG",2004,0.2686
"AUT","HKG",2014,0.4383
"AUT","HKG",2018,0.9742
"AUT","HKG",2010,0.5663
"AUT","HKG",2006,0.1147
"AUT","HKG",2016,0.8036
"AUT","IDN",2010,0.6641
"AUT","IDN",2012,0.5811
"AUT","IDN",2014,0.3331
"AUT","IDN",2018,0.4657
"AUT","IDN",2004,0.19
"AUT","IDN",2008,0.417
"AUT","IND",2010,0.096
"AUT","IND",2016,0.7302
"AUT","IND",2008,0.0832
"AUT","IND",2018,0.057
"AUT","IND",2014,0.0156
"AUT","IND",2012,0.475
"AUT","IND",2006,0.147
"AUT","IND",2004,0.248
"AUT","IRN",2010,0.4454
"AUT","IRN",2016,0.4298
"AUT","IRN",2004,0.4446
"AUT","IRQ",2004,0.4585
"AUT","ISR",2012,1.0
"AUT","JOR",2010,0.0
"AUT","JPN",2010,0.0536
"AUT","JPN",2014,0.148
"AUT","JPN",2012,0.4952
"AUT","JPN",2004,0.4599
"AUT","KAZ",2010,0.0365
"AUT","KAZ",2008,0.9174
"AUT","KAZ",2006,0.2341
"AUT","KAZ",2016,0.1568
"AUT","KOR",2014,0.1126
"AUT","KOR",2004,0.0759
"AUT","KOR",2012,0.2454
"AUT","KOR",2016,0.313
"AUT","KOR",2008,0.4581
"AUT","KOR",2010,0.3232
"AUT","KWT",2010,0.2403
"AUT","KWT",2012,0.0
"AUT","KWT",2004,0.8172
"AUT","LBY",2006,0.6585
"AUT","LIE",2010,0.0
"AUT","LIE",2006,1.0
"AUT","LIE",2014,1.0
"AUT","LKA",2014,1.0
"AUT","LKA",2010,0.194
"AUT","MAR",2004,0.6473
"AUT","MAR",2012,0.3222
"AUT","MDA",2012,0.1848
"AUT","MDA",2016,0.4019
"AUT","MDA",2006,0.5024
"AUT","MDA",2008,0.8699
"AUT","MEX",2016,0.8174
"AUT","MEX",2014,0.7403
"AUT","MEX",2018,0.4811
"AUT","MEX",2004,0.4215
"AUT","MEX",2008,0.4358
"AUT","MEX",2012,0.5274
"AUT","MEX",2010,0.4144
"AUT","MKD",2010,0.9941
"AUT","MKD",2004,0.0594
"AUT","MKD",2006,0.0931
"AUT","MKD",2008,0.0498
"AUT","MKD",2012,0.2347
"AUT","MMR",2014,0.3088
"AUT","MMR",2018,0.3771
"AUT","MNE",2012,0.8145
"AUT","MNE",2010,0.3856
"AUT","MYS",2004,0.5134
"AUT","MYS",2010,0.8311
"AUT","MYS",2016,1.0
"AUT","MYS",2014,0.0548
"AUT","MYS",2012,0.1045
"AUT","NOR",2006,0.6329
"AUT","NOR",2014,0.5072
"AUT","NOR",2012,0.0112
"AUT","NOR",2008,0.0411
"AUT","NZL",2006,0.2451
"AUT","NZL",2008,0.0455
"AUT","NZL",2014,0.4553
"AUT","NZL",2018,0.8351
"AUT","NZL",2012,0.0144
"AUT","OMN",2010,0.455
"AUT","OMN",2008,0.8409
"AUT","OMN",2004,0.2994
"AUT","PAK",2004,0.5184
"AUT","PAK",2010,0.8742
"AUT","PAK",2014,0.7625
"AUT","PAN",2016,0.1111
"AUT","PER",2010,0.8436
"AUT","PER",2014,0.0873
"AUT","PHL",2018,0.0551
"AUT","PHL",2016,0.0066
"AUT","QAT",2004,0.6359
"AUT","QAT",2010,0.1732
"AUT","QAT",2012,0.6787
"AUT","RUS",2008,0.9497
"AUT","RUS",2004,0.993
"AUT","RUS",2012,0.99
"AUT","RUS",2016,0.0513
