"iso2_o","iso2_d","year","p"
"AUT","ALB",2006,1.0
"AUT","ALB",2009,0.0
"AUT","ALB",2018,0.2482
"AUT","ALB",2007,0.8166
"AUT","ALB",2012,0.2166
"AUT","ALB",2005,0.6383
"AUT","ALB",2010,1.0
"AUT","ALB",2013,0.0
"AUT","ARE",2006,0.4993
"AUT","ARE",2007,0.2162
"AUT","ARE",2011,0.4791
"AUT","ARE",2013,0.2671
"AUT","ARE",2015,0.1921
"AUT","ARE",2018,0.0235
"AUT","ARE",2003,0.0203
"AUT","ARE",2016,0.5982
"AUT","ARE",2010,0.58
"AUT","ARE",2005,0.3157
"AUT","ARE",2009,0.0577
"AUT","ARE",2017,0.3475
"AUT","ARE",2004,0.5018
"AUT","ARE",2012,0.7208
"AUT","ARE",2008,0.1081
"AUT","ARG",2008,0.1676
"AUT","ARG",2016,0.8586
"AUT","ARG",2011,0.0002
"AUT","ARM",2017,0.3174
"AUT","AUS",2003,0.0
"AUT","AUS",2018,0.101
"AUT","AUS",2004,0.559
"AUT","AUS",2008,0.5757
"AUT","AUS",2017,0.1377
"AUT","AUS",2010,0.438
"AUT","AUS",2012,0.3009
"AUT","AZE",2009,0.255
"AUT","AZE",2007,0.7524
"AUT","AZE",2003,0.8016
"AUT","BGD",2012,0.7121
"AUT","BHR",2008,0.1936
"AUT","BHR",2009,0.7328
"AUT","BHR",2012,0.523
"AUT","BIH",2004,0.7984
"AUT","BIH",2007,0.2686
"AUT","BIH",2009,0.3652
"AUT","BIH",2010,0.4787
"AUT","BIH",2011,0.4808
"AUT","BIH",2015,0.3802
"AUT","BIH",2018,0.0339
"AUT","BIH",2003,0.8627
"AUT","BIH",2005,0.1187
"AUT","BIH",2006,0.7822
"AUT","BIH",2012,0.9423
"AUT","BIH",2013,0.4225
"AUT","BIH",2017,0.8738
"AUT","BIH",2008,0.4348
"AUT","BLR",2012,0.4119
"AUT","BLR",2010,0.2088
"AUT","BLR",2009,0.5342
"AUT","BLR",2011,0.2705
"AUT","BLR",2013,0.6217
"AUT","BLR",2015,0.1218
"AUT","BLR",2006,0.3194
"AUT","BLR",2008,0.8662
"AUT","BLR",2014,0.3906
"AUT","BLR",2018,1.0
"AUT","BLR",2003,0.0
"AUT","BRA",2007,0.0192
"AUT","BRA",2010,0.3121
"AUT","BRA",2003,0.1489
"AUT","BRA",2014,0.47
"AUT","BRA",2006,0.4195
"AUT","BRA",2016,0.1037
"AUT","BRA",2004,0.0866
"AUT","BRA",2011,0.2464
"AUT","BRA",2012,0.433
"AUT","BRA",2013,0.1642
"AUT","BRA",2015,0.1502
"AUT","BRA",2017,0.2745
"AUT","BRA",2018,0.016
"AUT","BWA",2012,0.9831
"AUT","CAN",2014,0.2176
"AUT","CAN",2007,0.1471
"AUT","CAN",2010,0.6122
"AUT","CAN",2015,0.9511
"AUT","CAN",2017,0.3234
"AUT","CAN",2004,1.0
"AUT","CAN",2016,0.1206
"AUT","CAN",2009,0.0587
"AUT","CHE",2010,0.2372
"AUT","CHE",2009,0.8682
"AUT","CHE",2013,0.1372
"AUT","CHE",2003,0.1594
"AUT","CHE",2006,0.0247
"AUT","CHE",2007,0.1075
"AUT","CHE",2008,0.5427
"AUT","CHE",2011,0.7209
"AUT","CHE",2017,0.1752
"AUT","CHE",2004,0.8355
"AUT","CHE",2012,0.3513
"AUT","CHE",2015,0.4713
"AUT","CHE",2005,0.4665
"AUT","CHE",2016,0.0179
"AUT","CHE",2014,0.0751
"AUT","CHL",2013,0.5134
"AUT","CHL",2016,0.6542
"AUT","CHL",2015,0.2049
"AUT","CHL",2006,0.496
"AUT","CHN",2003,0.3617
"AUT","CHN",2004,0.9796
"AUT","CHN",2010,0.5647
"AUT","CHN",2012,0.8441
"AUT","CHN",2013,0.686
"AUT","CHN",2008,0.2022
"AUT","CHN",2014,0.6166
"AUT","CHN",2009,0.3817
"AUT","CHN",2015,0.2154
"AUT","CHN",2006,0.3195
"AUT","CHN",2005,0.1372
"AUT","CHN",2007,0.3789
"AUT","CHN",2016,0.364
"AUT","CHN",2017,0.001
"AUT","CHN",2011,0.7568
"AUT","CHN",2018,0.2792
"AUT","COL",2013,0.5338
"AUT","COL",2015,0.5876
"AUT","CRI",2009,0.4714
"AUT","DZA",2011,0.0
"AUT","EGY",2010,0.4688
"AUT","EGY",2009,0.5035
"AUT","GEO",2014,0.9906
"AUT","GEO",2005,0.7285
"AUT","GEO",2003,0.0
"AUT","GEO",2007,0.6556
"AUT","GEO",2012,0.3744
"AUT","GEO",2018,0.7323
"AUT","HKG",2010,0.379
"AUT","HKG",2004,0.1597
"AUT","HKG",2013,0.7792
"AUT","HKG",2018,0.4983
"AUT","HKG",2007,0.302
"AUT","HKG",2017,0.8088
"AUT","HKG",2008,0.2327
"AUT","HKG",2006,0.7658
"AUT","HKG",2005,0.0569
"AUT","HKG",2015,0.1669
"AUT","IDN",2017,0.3642
"AUT","IDN",2010,0.8435
"AUT","IDN",2012,0.482
"AUT","IDN",2013,0.6441
"AUT","IDN",2009,0.232
"AUT","IDN",2003,0.1566
"AUT","IDN",2007,0.0591
"AUT","IDN",2018,0.1773
"AUT","IND",2007,0.2973
"AUT","IND",2008,0.0828
"AUT","IND",2017,0.044
"AUT","IND",2009,0.0235
"AUT","IND",2010,0.3771
"AUT","IND",2011,0.4527
"AUT","IND",2013,0.0909
"AUT","IND",2012,0.2149
"AUT","IND",2018,0.0149
"AUT","IND",2014,0.6787
"AUT","IND",2016,0.2537
"AUT","IND",2005,0.3952
"AUT","IND",2006,0.064
"AUT","IND",2004,0.7698
"AUT","IND",2015,0.0184
"AUT","IRN",2016,0.0839
"AUT","IRN",2003,0.1254
"AUT","IRN",2009,0.0
"AUT","IRQ",2003,0.0
"AUT","ISR",2011,0.292
"AUT","JOR",2009,0.3515
"AUT","JPN",2004,0.4236
"AUT","JPN",2011,0.5372
"AUT","JPN",2014,0.6354
"AUT","JPN",2009,0.1414
"AUT","JPN",2013,0.0505
"AUT","KAZ",2009,0.1576
"AUT","KAZ",2005,0.0544
"AUT","KAZ",2008,0.8798
"AUT","KAZ",2015,0.4523
"AUT","KOR",2014,0.0125
"AUT","KOR",2008,0.6775
"AUT","KOR",2015,0.7955
"AUT","KOR",2003,0.1454
"AUT","KOR",2012,0.1723
"AUT","KOR",2013,0.4054
"AUT","KOR",2016,0.7151
"AUT","KOR",2010,0.2421
"AUT","KWT",2011,0.577
"AUT","KWT",2004,0.44
"AUT","KWT",2009,0.1769
"AUT","LBY",2005,0.0
"AUT","LIE",2010,0.0
"AUT","LIE",2005,1.0
"AUT","LIE",2014,1.0
"AUT","LKA",2014,0.0
"AUT","LKA",2010,0.3623
"AUT","MAR",2004,0.2952
"AUT","MAR",2012,0.6312
"AUT","MDA",2006,0.732
"AUT","MDA",2016,0.3181
"AUT","MDA",2012,0.1695
"AUT","MDA",2007,0.6907
"AUT","MEX",2008,0.62
"AUT","MEX",2004,0.491
"AUT","MEX",2015,0.1947
"AUT","MEX",2007,0.2606
"AUT","MEX",2010,0.6579
"AUT","MEX",2012,0.6424
"AUT","MEX",2013,0.9619
"AUT","MEX",2017,0.7107
"AUT","MEX",2018,0.1882
"AUT","MEX",2014,0.6015
"AUT","MEX",2016,0.423
"AUT","MKD",2004,0.9925
"AUT","MKD",2010,0.8191
"AUT","MKD",2009,0.9535
"AUT","MKD",2012,0.1807
"AUT","MKD",2006,0.1009
"AUT","MKD",2007,0.9674
"AUT","MKD",2008,0.5427
"AUT","MKD",2005,0.0
"AUT","MKD",2011,0.5497
"AUT","MMR",2013,0.0
"AUT","MMR",2017,0.3948
"AUT","MNE",2011,0.6462
"AUT","MNE",2010,0.122
"AUT","MYS",2004,0.4425
"AUT","MYS",2003,0.0
"AUT","MYS",2010,0.7205
"AUT","MYS",2014,0.2264
"AUT","MYS",2015,0.8127
"AUT","MYS",2011,0.0047
"AUT","NOR",2006,0.4882
"AUT","NOR",2007,0.7269
"AUT","NOR",2014,0.3542
"AUT","NOR",2012,0.0078
"AUT","NZL",2011,0.0484
"AUT","NZL",2006,0.2418
"AUT","NZL",2008,0.1554
"AUT","NZL",2018,0.5397
"AUT","NZL",2013,0.5307
"AUT","OMN",2004,0.4743
"AUT","OMN",2007,0.6037
"AUT","OMN",2009,0.6295
"AUT","PAK",2003,0.1787
"AUT","PAK",2009,0.5389
"AUT","PAK",2013,0.0765
"AUT","PAN",2015,0.0923
"AUT","PER",2010,0.4276
"AUT","PER",2013,0.7128
"AUT","PHL",2015,0.2532
"AUT","PHL",2017,0.6657
"AUT","QAT",2010,0.5894
"AUT","QAT",2004,0.2584
"AUT","QAT",2012,0.7601
"AUT","RUS",2004,0.7306
"AUT","RUS",2005,0.1716
"AUT","RUS",2006,0.3294
"AUT","RUS",2007,0.7775
"AUT","RUS",2008,0.9345
"AUT","RUS",2009,0.7002
"AUT","RUS",2010,0.8619
"AUT","RUS",2011,0.6342
"AUT","RUS",2012,0.603
"AUT","RUS",2013,0.1158
"AUT","RUS",2014,0.1154
"AUT","RUS",2017,0.6861
"AUT","RUS",2018,0.306
"AUT","RUS",2003,0.0004
"AUT","RUS",2015,0.1627
"AUT","RUS",2016,0.1451
"AUT","SAU",2015,0.2848
"AUT","SAU",2007,0.261
"AUT","SAU",2008,0.6618
"AUT","SAU",2009,0.7499
"AUT","SAU",2014,0.2523
"AUT","SGP",2012,0.1914
"AUT","SGP",2009,0.1864
"AUT","SGP",2013,0.7352
"AUT","SGP",2008,0.5437
"AUT","SGP",2015,0.5866
"AUT","SGP",2017,0.1601
"AUT","SGP",2010,0.5558
"AUT","SGP",2011,0.1554
"AUT","SGP",2014,0.5732
"AUT","SGP",2007,0.1076
"AUT","SGP",2004,0.0153
"AUT","SGP",2018,0.0129
"AUT","SRB",2005,0.2573
"AUT","SRB",2007,0.3289
"AUT","SRB",2008,0.7421
"AUT","SRB",2009,0.7879
"AUT","SRB",2010,0.7446
"AUT","SRB",2012,0.653
"AUT","SRB",2013,0.1273
"AUT","SRB",2014,0.2965
"AUT","SRB",2015,0.3136
"AUT","SRB",2016,0.7744
"AUT","SRB",2017,0.6041
"AUT","SRB",2018,0.3893
"AUT","SRB",2011,0.8646
"AUT","SRB",2004,0.0674
"AUT","SRB",2006,0.6207
"AUT","SRB",2003,0.2441
"AUT","SYR",2007,0.7525
"AUT","THA",2018,0.2443
"AUT","THA",2014,0.4405
"AUT","THA",2016,0.8565
"AUT","THA",2010,0.8671
"AUT","THA",2009,0.0588
"AUT","THA",2008,0.0711
"AUT","THA",2017,0.4623
"AUT","TUN",2008,0.4123
"AUT","TUN",2005,0.5871
"AUT","TUN",2014,0.6897
"AUT","TUN",2012,0.1859
"AUT","TUN",2006,0.6422
"AUT","TUR",2007,0.2309
"AUT","TUR",2008,0.1128
"AUT","TUR",2013,0.0647
"AUT","TUR",2017,0.0097
"AUT","TUR",2018,0.7386
"AUT","TUR",2012,0.9198
"AUT","TUR",2009,0.0801
"AUT","TUR",2010,0.6804
"AUT","TUR",2011,0.0029
"AUT","TUR",2016,0.2506
"AUT","TUR",2015,0.5376
"AUT","TUR",2014,0.4706
"AUT","TUR",2003,0.1917
"AUT","TUR",2004,0.145
"AUT","TWN",2013,0.8385
"AUT","TWN",2003,0.0628
"AUT","TWN",2011,0.2216
"AUT","TWN",2007,0.0998
"AUT","TWN",2017,0.1129
"AUT","TZA",2018,0.4825
"AUT","UGA",2008,1.0
"AUT","UKR",2006,0.7239
