o_iso,d_iso,year,Construction,Creative Industries,Environmental Technology,Financial Services,Industrial,Physical Sciences,Professional Services,Consumer Goods,Energy,"Food, Beverages & Tobacco",ICT & Electronics,Life sciences,Retail Trade,Tourism,Transport Equipment,"Transportation, Warehousing & Storage","Wood, Apparel & Related Products"
AUT,ALB,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,ALB,2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,ALB,2018,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,ALB,2007,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,ALB,2012,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AUT,ALB,2005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,ALB,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUT,ALB,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AUT,ARE,2006,1,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0
AUT,ARE,2007,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AUT,ARE,2011,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
AUT,ARE,2013,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
AUT,ARE,2015,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUT,ARE,2018,0,0,0,0,0,0,0,0,169,0,1,6,0,0,0,0,0
AUT,ARE,2003,0,0,2,0,1,0,0,0,0,8,0,0,0,0,0,0,0
AUT,ARE,2016,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
AUT,ARE,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
AUT,ARE,2005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUT,ARE,2009,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0
AUT,ARE,2017,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
AUT,ARE,2004,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
AUT,ARE,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUT,ARE,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0
AUT,ARG,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AUT,ARG,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AUT,ARG,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
AUT,ARM,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
AUT,AUS,2003,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0
AUT,AUS,2018,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0
AUT,AUS,2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AUT,AUS,2008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUT,AUS,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AUT,AUS,2010,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
AUT,AUS,2012,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
AUT,AZE,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,AZE,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AUT,AZE,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
AUT,BGD,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUT,BHR,2008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
AUT,BHR,2009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUT,BHR,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUT,BIH,2004,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,BIH,2007,8,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
AUT,BIH,2009,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,BIH,2010,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUT,BIH,2011,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUT,BIH,2015,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AUT,BIH,2018,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUT,BIH,2003,0,0,0,16,0,0,0,0,0,0,0,0,6,0,1,0,0
AUT,BIH,2005,0,0,0,3,0,0,0,0,0,0,0,0,3,16,0,0,0
AUT,BIH,2006,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
AUT,BIH,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
AUT,BIH,2013,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0
AUT,BIH,2017,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,8
AUT,BIH,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
AUT,BLR,2012,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
AUT,BLR,2010,0,0,0,3,0,0,0,0,0,0,10,0,1,0,0,0,0
AUT,BLR,2009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AUT,BLR,2011,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
AUT,BLR,2013,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0
AUT,BLR,2015,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
AUT,BLR,2006,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AUT,BLR,2008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
AUT,BLR,2014,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUT,BLR,2018,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUT,BLR,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
AUT,BRA,2007,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,BRA,2010,15,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
AUT,BRA,2003,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0
AUT,BRA,2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,BRA,2006,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0
AUT,BRA,2016,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
AUT,BRA,2004,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
AUT,BRA,2011,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
AUT,BRA,2012,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0
AUT,BRA,2013,0,0,0,0,16,0,0,0,0,0,0,0,0,0,8,0,0
AUT,BRA,2015,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
AUT,BRA,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
AUT,BRA,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
AUT,BWA,2012,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
AUT,CAN,2014,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,CAN,2007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,CAN,2010,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,CAN,2015,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0
AUT,CAN,2017,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0
AUT,CAN,2004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AUT,CAN,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
AUT,CAN,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
AUT,CHE,2010,0,1,0,9,0,0,0,1,0,0,0,0,0,1,0,0,0
AUT,CHE,2009,0,1,0,4,0,0,0,0,0,0,0,0,7,0,0,2,1
AUT,CHE,2013,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0
AUT,CHE,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0
AUT,CHE,2006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,12,0
AUT,CHE,2007,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0
AUT,CHE,2008,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
AUT,CHE,2011,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
AUT,CHE,2017,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,CHE,2004,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0,0,0
AUT,CHE,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
AUT,CHE,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AUT,CHE,2005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AUT,CHE,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,0
AUT,CHE,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
AUT,CHL,2013,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,CHL,2016,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,CHL,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AUT,CHL,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AUT,CHN,2003,3,0,0,0,3,1,0,0,0,0,0,0,0,0,4,0,10
AUT,CHN,2004,3,0,0,7,6,1,0,1,0,0,11,0,4,0,0,0,2
AUT,CHN,2010,2,0,0,0,3,0,0,6,0,0,0,0,0,0,4,7,2
AUT,CHN,2012,6,1,1,0,2,1,0,0,0,0,7,0,2,0,10,2,0
AUT,CHN,2013,1,0,1,0,22,0,0,0,0,9,0,0,2,0,14,0,2
AUT,CHN,2008,0,0,0,7,1,0,2,1,0,4,7,0,0,0,1,24,0
AUT,CHN,2014,0,0,0,0,20,0,0,4,0,0,6,0,4,0,4,0,0
AUT,CHN,2009,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
AUT,CHN,2015,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
AUT,CHN,2006,0,0,0,14,8,0,0,0,16,0,0,0,0,0,0,0,3
AUT,CHN,2005,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,17
AUT,CHN,2007,0,0,0,0,6,0,0,0,0,1,9,0,0,0,3,0,3
AUT,CHN,2016,0,0,0,0,8,0,0,0,0,12,7,0,0,0,16,0,0
AUT,CHN,2017,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,13,0
AUT,CHN,2011,0,0,0,0,4,5,0,0,0,0,8,0,2,0,1,6,3
AUT,CHN,2018,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,10,0
AUT,COL,2013,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0
AUT,COL,2015,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
AUT,CRI,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
AUT,DZA,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AUT,EGY,2010,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
AUT,EGY,2009,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
AUT,GEO,2014,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
AUT,GEO,2005,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
AUT,GEO,2003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUT,GEO,2007,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
AUT,GEO,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
AUT,GEO,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUT,HKG,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,HKG,2004,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,HKG,2013,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0
AUT,HKG,2018,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,HKG,2007,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
AUT,HKG,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
AUT,HKG,2008,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
AUT,HKG,2006,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
AUT,HKG,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
AUT,HKG,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUT,IDN,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,IDN,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
AUT,IDN,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUT,IDN,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0
AUT,IDN,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,5
AUT,IDN,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUT,IDN,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
AUT,IDN,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AUT,IND,2007,14,0,0,0,2,0,0,0,0,0,1,0,0,0,0,14,16
AUT,IND,2008,11,0,0,0,0,0,0,0,0,0,12,0,0,0,0,6,0
AUT,IND,2017,11,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
AUT,IND,2009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0
AUT,IND,2010,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0
AUT,IND,2011,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
AUT,IND,2013,0,0,0,0,28,0,0,1,0,0,0,0,0,0,1,0,0
