"iso2_o","iso2_d","year","p"
"AUT","ALB",2009,1.0
"AUT","ALB",2010,1.0
"AUT","ALB",2013,1.0
"AUT","ALB",2005,1.0
"AUT","ALB",2018,0.0
"AUT","ALB",2012,0.3276
"AUT","ALB",2006,0.0
"AUT","ALB",2007,0.6207
"AUT","ARE",2008,0.0663
"AUT","ARE",2006,0.8368
"AUT","ARE",2003,0.2183
"AUT","ARE",2015,0.8581
"AUT","ARE",2007,0.3383
"AUT","ARE",2018,0.1677
"AUT","ARE",2010,0.2706
"AUT","ARE",2011,0.1007
"AUT","ARE",2016,0.573
"AUT","ARE",2009,0.3327
"AUT","ARE",2017,0.0888
"AUT","ARE",2005,0.0
"AUT","ARE",2013,0.1814
"AUT","ARE",2004,0.7835
"AUT","ARE",2012,0.4738
"AUT","ARG",2008,0.4214
"AUT","ARG",2016,0.4402
"AUT","ARG",2011,0.0
"AUT","ARM",2017,1.0
"AUT","AUS",2017,0.6899
"AUT","AUS",2003,0.3111
"AUT","AUS",2010,0.4478
"AUT","AUS",2012,0.557
"AUT","AUS",2018,0.3835
"AUT","AUS",2008,0.4154
"AUT","AUS",2004,1.0
"AUT","AZE",2009,0.3828
"AUT","AZE",2007,0.5011
"AUT","AZE",2003,1.0
"AUT","BGD",2012,0.7048
"AUT","BHR",2009,0.3676
"AUT","BHR",2008,0.1082
"AUT","BHR",2012,0.4487
"AUT","BIH",2006,0.0
"AUT","BIH",2007,0.2017
"AUT","BIH",2003,0.5768
"AUT","BIH",2012,0.9172
"AUT","BIH",2017,0.8254
"AUT","BIH",2004,0.3977
"AUT","BIH",2009,0.3975
"AUT","BIH",2010,0.3712
"AUT","BIH",2005,0.0807
"AUT","BIH",2015,0.779
"AUT","BIH",2011,0.1931
"AUT","BIH",2013,0.3967
"AUT","BIH",2018,0.4007
"AUT","BIH",2008,0.5037
"AUT","BLR",2008,1.0
"AUT","BLR",2012,0.8032
"AUT","BLR",2009,0.6132
"AUT","BLR",2010,0.2499
"AUT","BLR",2011,0.359
"AUT","BLR",2013,0.0556
"AUT","BLR",2014,0.0
"AUT","BLR",2015,0.0
"AUT","BLR",2018,0.7825
"AUT","BLR",2006,0.0
"AUT","BLR",2003,0.0
"AUT","BRA",2006,0.423
"AUT","BRA",2017,0.3357
"AUT","BRA",2010,0.2555
"AUT","BRA",2013,0.2647
"AUT","BRA",2003,0.5288
"AUT","BRA",2004,0.1135
"AUT","BRA",2011,0.7405
"AUT","BRA",2012,0.0372
"AUT","BRA",2016,0.6727
"AUT","BRA",2015,0.0
"AUT","BRA",2007,0.0491
"AUT","BRA",2018,0.4069
"AUT","BRA",2014,0.7841
"AUT","BWA",2012,0.0
"AUT","CAN",2007,0.5678
"AUT","CAN",2010,0.6349
"AUT","CAN",2014,0.6332
"AUT","CAN",2004,0.7537
"AUT","CAN",2016,0.3718
"AUT","CAN",2017,0.075
"AUT","CAN",2015,0.8946
"AUT","CAN",2009,0.4552
"AUT","CHE",2004,0.7449
"AUT","CHE",2011,0.5436
"AUT","CHE",2016,0.2071
"AUT","CHE",2005,0.6733
"AUT","CHE",2009,0.835
"AUT","CHE",2010,0.9034
"AUT","CHE",2006,0.0838
"AUT","CHE",2013,0.1303
"AUT","CHE",2003,0.6468
"AUT","CHE",2007,0.4184
"AUT","CHE",2008,0.648
"AUT","CHE",2017,0.3805
"AUT","CHE",2015,0.1144
"AUT","CHE",2012,0.3977
"AUT","CHE",2014,0.3328
"AUT","CHL",2015,0.1668
"AUT","CHL",2006,0.3792
"AUT","CHL",2013,0.4736
"AUT","CHL",2016,1.0
"AUT","CHN",2016,0.5929
"AUT","CHN",2017,0.077
"AUT","CHN",2003,0.584
"AUT","CHN",2005,0.5909
"AUT","CHN",2008,0.4053
"AUT","CHN",2010,0.4577
"AUT","CHN",2011,0.9658
"AUT","CHN",2012,0.478
"AUT","CHN",2013,0.5074
"AUT","CHN",2014,0.3845
"AUT","CHN",2015,0.9106
"AUT","CHN",2004,0.9278
"AUT","CHN",2009,0.6873
"AUT","CHN",2007,0.7385
"AUT","CHN",2006,0.4911
"AUT","CHN",2018,0.3336
"AUT","COL",2013,0.123
"AUT","COL",2015,0.5844
"AUT","CRI",2009,0.5055
"AUT","DZA",2011,0.7331
"AUT","EGY",2009,0.7846
"AUT","EGY",2010,0.3539
"AUT","GEO",2007,0.6728
"AUT","GEO",2012,0.744
"AUT","GEO",2003,0.3357
"AUT","GEO",2014,1.0
"AUT","GEO",2018,0.7405
"AUT","GEO",2005,0.0
"AUT","HKG",2007,0.2745
"AUT","HKG",2008,0.3194
"AUT","HKG",2004,0.8327
"AUT","HKG",2013,0.7921
"AUT","HKG",2018,0.5438
"AUT","HKG",2010,0.8045
"AUT","HKG",2017,0.4939
"AUT","HKG",2006,1.0
"AUT","HKG",2015,0.7482
"AUT","HKG",2005,0.2026
"AUT","IDN",2009,0.7886
"AUT","IDN",2010,0.8636
"AUT","IDN",2012,0.2621
"AUT","IDN",2013,0.9113
"AUT","IDN",2017,0.5323
"AUT","IDN",2003,0.0
"AUT","IDN",2007,0.2116
"AUT","IDN",2018,0.0
"AUT","IND",2010,0.3963
"AUT","IND",2016,0.9376
"AUT","IND",2007,0.0543
"AUT","IND",2008,0.1728
"AUT","IND",2017,0.3328
"AUT","IND",2015,0.3021
"AUT","IND",2018,0.3302
"AUT","IND",2014,0.7924
"AUT","IND",2011,0.7471
"AUT","IND",2005,0.7094
"AUT","IND",2012,0.7709
"AUT","IND",2013,0.323
"AUT","IND",2009,0.6692
"AUT","IND",2004,0.0657
"AUT","IND",2006,0.1012
"AUT","IRN",2009,1.0
"AUT","IRN",2016,0.3766
"AUT","IRN",2003,0.0
"AUT","IRQ",2003,0.7796
"AUT","ISR",2011,0.5497
"AUT","JOR",2009,0.0
"AUT","JPN",2009,0.0789
"AUT","JPN",2013,0.2751
"AUT","JPN",2011,0.8498
"AUT","JPN",2014,0.3221
"AUT","JPN",2004,0.3055
"AUT","KAZ",2009,0.2775
"AUT","KAZ",2008,1.0
"AUT","KAZ",2005,0.6929
"AUT","KAZ",2015,0.6167
"AUT","KOR",2014,0.0117
"AUT","KOR",2003,0.2051
"AUT","KOR",2012,0.5368
"AUT","KOR",2013,0.6701
"AUT","KOR",2015,0.3
"AUT","KOR",2016,0.4898
"AUT","KOR",2008,0.4672
"AUT","KOR",2010,0.2131
"AUT","KWT",2009,0.0
"AUT","KWT",2011,0.0
"AUT","KWT",2004,1.0
"AUT","LBY",2005,0.6623
"AUT","LIE",2010,0.0
"AUT","LIE",2005,1.0
"AUT","LIE",2014,1.0
"AUT","LKA",2014,0.7561
"AUT","LKA",2010,0.4938
"AUT","MAR",2004,0.577
"AUT","MAR",2012,0.2656
"AUT","MDA",2012,1.0
"AUT","MDA",2016,1.0
"AUT","MDA",2006,0.0
"AUT","MDA",2007,0.7522
"AUT","MEX",2015,0.1522
"AUT","MEX",2014,0.8507
"AUT","MEX",2016,0.4339
"AUT","MEX",2018,0.1985
"AUT","MEX",2013,0.4057
"AUT","MEX",2004,0.7497
"AUT","MEX",2007,0.5292
"AUT","MEX",2008,0.9419
"AUT","MEX",2012,0.7072
"AUT","MEX",2017,0.7748
"AUT","MEX",2010,0.6036
"AUT","MKD",2009,0.7874
"AUT","MKD",2004,1.0
"AUT","MKD",2006,0.4354
"AUT","MKD",2007,0.0
"AUT","MKD",2008,0.0
"AUT","MKD",2010,0.4213
"AUT","MKD",2005,1.0
"AUT","MKD",2012,0.3555
"AUT","MKD",2011,0.7115
"AUT","MMR",2013,0.4265
"AUT","MMR",2017,0.3584
"AUT","MNE",2011,0.2491
"AUT","MNE",2010,0.7158
"AUT","MYS",2003,1.0
"AUT","MYS",2004,0.6583
"AUT","MYS",2010,1.0
"AUT","MYS",2015,0.7949
"AUT","MYS",2014,0.4878
"AUT","MYS",2011,0.359
"AUT","NOR",2006,0.6453
"AUT","NOR",2014,0.3236
"AUT","NOR",2012,0.0
"AUT","NOR",2007,0.0
"AUT","NZL",2006,0.9638
"AUT","NZL",2008,0.0
"AUT","NZL",2013,0.6321
"AUT","NZL",2018,1.0
"AUT","NZL",2011,0.0
"AUT","OMN",2009,1.0
"AUT","OMN",2007,0.0
"AUT","OMN",2004,0.0
