"iso2_o","iso2_d","year","p"
"AUT","ALB",2010,0.9915
"AUT","ALB",2014,0.0
"AUT","ALB",2006,0.9384
"AUT","ALB",2018,0.6989
"AUT","ALB",2012,0.2902
"AUT","ALB",2008,0.4142
"AUT","ARE",2008,0.033
"AUT","ARE",2006,0.4574
"AUT","ARE",2004,0.0514
"AUT","ARE",2016,0.9354
"AUT","ARE",2018,0.0023
"AUT","ARE",2010,0.4691
"AUT","ARE",2012,0.3696
"AUT","ARE",2014,0.043
"AUT","ARG",2008,0.1704
"AUT","ARG",2016,0.9047
"AUT","ARG",2012,0.0119
"AUT","ARM",2018,0.9908
"AUT","AUS",2018,0.2077
"AUT","AUS",2004,0.0148
"AUT","AUS",2010,0.1743
"AUT","AUS",2012,0.6992
"AUT","AUS",2008,0.5981
"AUT","AZE",2010,0.0
"AUT","AZE",2008,0.7974
"AUT","AZE",2004,0.5784
"AUT","BGD",2012,0.7819
"AUT","BHR",2010,0.1365
"AUT","BHR",2008,0.2175
"AUT","BHR",2012,0.706
"AUT","BIH",2006,0.3063
"AUT","BIH",2008,0.531
"AUT","BIH",2004,0.607
"AUT","BIH",2012,0.5246
"AUT","BIH",2018,0.7878
"AUT","BIH",2010,0.9716
"AUT","BIH",2016,0.7288
"AUT","BIH",2014,0.4527
"AUT","BLR",2008,0.9871
"AUT","BLR",2012,0.1153
"AUT","BLR",2010,0.1672
"AUT","BLR",2014,0.0699
"AUT","BLR",2016,0.4662
"AUT","BLR",2018,0.5658
"AUT","BLR",2006,0.2278
"AUT","BLR",2004,0.4063
"AUT","BRA",2006,0.3447
"AUT","BRA",2018,0.0045
"AUT","BRA",2010,0.0069
"AUT","BRA",2014,0.0196
"AUT","BRA",2004,0.1955
"AUT","BRA",2012,0.0647
"AUT","BRA",2016,0.1397
"AUT","BRA",2008,0.0069
"AUT","BWA",2012,0.2544
"AUT","CAN",2008,0.5119
"AUT","CAN",2010,0.2202
"AUT","CAN",2014,0.8701
"AUT","CAN",2004,0.5941
"AUT","CAN",2016,0.8058
"AUT","CAN",2018,0.0457
"AUT","CHE",2004,0.2962
"AUT","CHE",2012,0.8371
"AUT","CHE",2016,0.0116
"AUT","CHE",2006,0.0098
"AUT","CHE",2010,0.7113
"AUT","CHE",2014,0.4714
"AUT","CHE",2008,0.5016
"AUT","CHE",2018,0.1144
"AUT","CHL",2016,0.7411
"AUT","CHL",2006,0.0
"AUT","CHL",2014,0.5793
"AUT","CHN",2016,0.5239
"AUT","CHN",2018,0.1127
"AUT","CHN",2004,0.9787
"AUT","CHN",2006,0.1879
"AUT","CHN",2008,0.4747
"AUT","CHN",2010,0.9893
"AUT","CHN",2012,0.7712
"AUT","CHN",2014,0.5604
"AUT","COL",2014,0.2462
"AUT","COL",2016,0.2608
"AUT","CRI",2010,0.7569
"AUT","DZA",2012,0.0
"AUT","EGY",2010,0.3945
"AUT","GEO",2008,0.1828
"AUT","GEO",2012,0.9488
"AUT","GEO",2004,0.6243
"AUT","GEO",2014,0.8801
"AUT","GEO",2018,1.0
"AUT","GEO",2006,0.3411
"AUT","HKG",2008,0.1967
"AUT","HKG",2004,0.2765
"AUT","HKG",2014,0.4401
"AUT","HKG",2018,0.9719
"AUT","HKG",2010,0.5757
"AUT","HKG",2006,0.126
"AUT","HKG",2016,0.8039
"AUT","IDN",2010,0.6552
"AUT","IDN",2012,0.585
"AUT","IDN",2014,0.3355
"AUT","IDN",2018,0.465
"AUT","IDN",2004,0.189
"AUT","IDN",2008,0.4183
"AUT","IND",2010,0.0943
"AUT","IND",2016,0.74
"AUT","IND",2008,0.0808
"AUT","IND",2018,0.0623
"AUT","IND",2014,0.0154
"AUT","IND",2012,0.4712
"AUT","IND",2006,0.1545
"AUT","IND",2004,0.2543
"AUT","IRN",2010,0.455
"AUT","IRN",2016,0.4264
"AUT","IRN",2004,0.4502
"AUT","IRQ",2004,0.4554
"AUT","ISR",2012,1.0
"AUT","JOR",2010,0.0
"AUT","JPN",2010,0.0539
"AUT","JPN",2014,0.1551
"AUT","JPN",2012,0.4989
"AUT","JPN",2004,0.4582
"AUT","KAZ",2010,0.0338
"AUT","KAZ",2008,0.9148
"AUT","KAZ",2006,0.2328
"AUT","KAZ",2016,0.155
"AUT","KOR",2014,0.1128
"AUT","KOR",2004,0.0788
"AUT","KOR",2012,0.2403
"AUT","KOR",2016,0.3175
"AUT","KOR",2008,0.4487
"AUT","KOR",2010,0.3222
"AUT","KWT",2010,0.2417
"AUT","KWT",2012,0.0
"AUT","KWT",2004,0.8148
"AUT","LBY",2006,0.6711
"AUT","LIE",2010,0.0
"AUT","LIE",2006,1.0
"AUT","LIE",2014,1.0
"AUT","LKA",2014,1.0
"AUT","LKA",2010,0.1941
"AUT","MAR",2004,0.6468
"AUT","MAR",2012,0.3196
"AUT","MDA",2012,0.1893
"AUT","MDA",2016,0.3856
"AUT","MDA",2006,0.4815
"AUT","MDA",2008,0.8786
"AUT","MEX",2016,0.8206
"AUT","MEX",2014,0.7426
"AUT","MEX",2018,0.4698
"AUT","MEX",2004,0.4241
"AUT","MEX",2008,0.4371
"AUT","MEX",2012,0.5149
"AUT","MEX",2010,0.4035
"AUT","MKD",2010,0.9916
"AUT","MKD",2004,0.0628
"AUT","MKD",2006,0.0863
"AUT","MKD",2008,0.0477
"AUT","MKD",2012,0.2337
"AUT","MMR",2014,0.3125
"AUT","MMR",2018,0.3797
"AUT","MNE",2012,0.8084
"AUT","MNE",2010,0.3673
"AUT","MYS",2004,0.5143
"AUT","MYS",2010,0.8341
"AUT","MYS",2016,1.0
"AUT","MYS",2014,0.053
"AUT","MYS",2012,0.1062
"AUT","NOR",2006,0.6224
"AUT","NOR",2014,0.5166
"AUT","NOR",2012,0.0136
