"iso2_o","iso2_d","year","p"
"AUT","ALB",2006,1.0
"AUT","ALB",2009,0.0
"AUT","ALB",2018,0.255
"AUT","ALB",2007,0.825
"AUT","ALB",2012,0.2146
"AUT","ALB",2005,0.6451
"AUT","ALB",2010,1.0
"AUT","ALB",2013,0.0
"AUT","ARE",2006,0.5127
"AUT","ARE",2007,0.2239
"AUT","ARE",2011,0.4787
"AUT","ARE",2013,0.262
"AUT","ARE",2015,0.1895
"AUT","ARE",2018,0.0228
"AUT","ARE",2003,0.0196
"AUT","ARE",2016,0.599
"AUT","ARE",2010,0.5879
"AUT","ARE",2005,0.3065
"AUT","ARE",2009,0.0613
"AUT","ARE",2017,0.3536
"AUT","ARE",2004,0.4937
"AUT","ARE",2012,0.7161
"AUT","ARE",2008,0.1064
"AUT","ARG",2008,0.1633
"AUT","ARG",2016,0.86
"AUT","ARG",2011,0.0005
"AUT","ARM",2017,0.3225
"AUT","AUS",2003,0.0
"AUT","AUS",2018,0.1068
"AUT","AUS",2004,0.551
"AUT","AUS",2008,0.5734
"AUT","AUS",2017,0.1458
"AUT","AUS",2010,0.4401
"AUT","AUS",2012,0.29
"AUT","AZE",2009,0.2542
"AUT","AZE",2007,0.7407
"AUT","AZE",2003,0.8045
"AUT","BGD",2012,0.7137
"AUT","BHR",2008,0.1993
"AUT","BHR",2009,0.7301
"AUT","BHR",2012,0.5217
"AUT","BIH",2004,0.8053
"AUT","BIH",2007,0.2625
"AUT","BIH",2009,0.3615
"AUT","BIH",2010,0.4693
"AUT","BIH",2011,0.4891
"AUT","BIH",2015,0.3868
"AUT","BIH",2018,0.0354
"AUT","BIH",2003,0.8637
"AUT","BIH",2005,0.1175
"AUT","BIH",2006,0.7848
"AUT","BIH",2012,0.9428
"AUT","BIH",2013,0.4221
"AUT","BIH",2017,0.8762
"AUT","BIH",2008,0.4301
"AUT","BLR",2012,0.4106
"AUT","BLR",2010,0.2122
"AUT","BLR",2009,0.5279
"AUT","BLR",2011,0.2748
"AUT","BLR",2013,0.6217
"AUT","BLR",2015,0.1282
"AUT","BLR",2006,0.3321
"AUT","BLR",2008,0.8645
"AUT","BLR",2014,0.403
"AUT","BLR",2018,1.0
"AUT","BLR",2003,0.0
"AUT","BRA",2007,0.0178
"AUT","BRA",2010,0.3107
"AUT","BRA",2003,0.1503
"AUT","BRA",2014,0.4767
"AUT","BRA",2006,0.431
"AUT","BRA",2016,0.0998
"AUT","BRA",2004,0.0811
"AUT","BRA",2011,0.2549
"AUT","BRA",2012,0.4411
"AUT","BRA",2013,0.1579
"AUT","BRA",2015,0.1458
"AUT","BRA",2017,0.2695
"AUT","BRA",2018,0.0157
"AUT","BWA",2012,0.9839
"AUT","CAN",2014,0.2133
"AUT","CAN",2007,0.1495
"AUT","CAN",2010,0.6133
"AUT","CAN",2015,0.9518
"AUT","CAN",2017,0.322
"AUT","CAN",2004,1.0
"AUT","CAN",2016,0.1139
"AUT","CAN",2009,0.0613
"AUT","CHE",2010,0.2427
"AUT","CHE",2009,0.8613
"AUT","CHE",2013,0.1359
"AUT","CHE",2003,0.1466
"AUT","CHE",2006,0.0236
"AUT","CHE",2007,0.1024
"AUT","CHE",2008,0.5432
"AUT","CHE",2011,0.7192
"AUT","CHE",2017,0.1679
"AUT","CHE",2004,0.8357
"AUT","CHE",2012,0.346
"AUT","CHE",2015,0.4712
"AUT","CHE",2005,0.4593
"AUT","CHE",2016,0.018
"AUT","CHE",2014,0.0719
"AUT","CHL",2013,0.5181
"AUT","CHL",2016,0.6487
"AUT","CHL",2015,0.2022
"AUT","CHL",2006,0.5002
"AUT","CHN",2003,0.3678
"AUT","CHN",2004,0.9794
"AUT","CHN",2010,0.5688
"AUT","CHN",2012,0.839
"AUT","CHN",2013,0.6988
"AUT","CHN",2008,0.1917
"AUT","CHN",2014,0.6214
"AUT","CHN",2009,0.3878
"AUT","CHN",2015,0.2091
"AUT","CHN",2006,0.3243
"AUT","CHN",2005,0.1352
"AUT","CHN",2007,0.3644
"AUT","CHN",2016,0.3593
"AUT","CHN",2017,0.0012
"AUT","CHN",2011,0.7528
"AUT","CHN",2018,0.2732
"AUT","COL",2013,0.5335
"AUT","COL",2015,0.5847
"AUT","CRI",2009,0.4733
"AUT","DZA",2011,0.0
"AUT","EGY",2010,0.46
"AUT","EGY",2009,0.5125
"AUT","GEO",2014,0.9884
"AUT","GEO",2005,0.7231
"AUT","GEO",2003,0.0
"AUT","GEO",2007,0.6564
"AUT","GEO",2012,0.385
"AUT","GEO",2018,0.7288
"AUT","HKG",2010,0.3759
"AUT","HKG",2004,0.1591
"AUT","HKG",2013,0.7886
"AUT","HKG",2018,0.5025
"AUT","HKG",2007,0.294
"AUT","HKG",2017,0.8118
"AUT","HKG",2008,0.2255
"AUT","HKG",2006,0.7656
"AUT","HKG",2005,0.0583
"AUT","HKG",2015,0.1564
"AUT","IDN",2017,0.3582
"AUT","IDN",2010,0.8435
"AUT","IDN",2012,0.4791
"AUT","IDN",2013,0.6586
"AUT","IDN",2009,0.2351
"AUT","IDN",2003,0.1631
"AUT","IDN",2007,0.0643
"AUT","IDN",2018,0.1748
"AUT","IND",2007,0.3009
"AUT","IND",2008,0.0827
"AUT","IND",2017,0.0433
"AUT","IND",2009,0.0209
"AUT","IND",2010,0.3651
"AUT","IND",2011,0.4551
"AUT","IND",2013,0.0786
"AUT","IND",2012,0.217
"AUT","IND",2018,0.0142
"AUT","IND",2014,0.672
"AUT","IND",2016,0.2501
"AUT","IND",2005,0.3936
"AUT","IND",2006,0.0588
"AUT","IND",2004,0.7724
"AUT","IND",2015,0.0208
"AUT","IRN",2016,0.0809
"AUT","IRN",2003,0.1179
"AUT","IRN",2009,0.0
"AUT","IRQ",2003,0.0
"AUT","ISR",2011,0.2994
"AUT","JOR",2009,0.357
"AUT","JPN",2004,0.414
"AUT","JPN",2011,0.5377
"AUT","JPN",2014,0.6344
"AUT","JPN",2009,0.1394
"AUT","JPN",2013,0.046
"AUT","KAZ",2009,0.1494
"AUT","KAZ",2005,0.0557
"AUT","KAZ",2008,0.877
"AUT","KAZ",2015,0.4507
"AUT","KOR",2014,0.0105
"AUT","KOR",2008,0.6872
"AUT","KOR",2015,0.8018
"AUT","KOR",2003,0.1525
"AUT","KOR",2012,0.1667
"AUT","KOR",2013,0.408
"AUT","KOR",2016,0.7219
"AUT","KOR",2010,0.2427
"AUT","KWT",2011,0.5887
"AUT","KWT",2004,0.4484
"AUT","KWT",2009,0.1843
"AUT","LBY",2005,0.0
"AUT","LIE",2010,0.0
"AUT","LIE",2005,1.0
"AUT","LIE",2014,1.0
"AUT","LKA",2014,0.0
"AUT","LKA",2010,0.3657
"AUT","MAR",2004,0.2891
"AUT","MAR",2012,0.6329
"AUT","MDA",2006,0.7303
"AUT","MDA",2016,0.3203
"AUT","MDA",2012,0.166
"AUT","MDA",2007,0.6944
"AUT","MEX",2008,0.6046
"AUT","MEX",2004,0.4831
"AUT","MEX",2015,0.1964
"AUT","MEX",2007,0.2691
"AUT","MEX",2010,0.6578
"AUT","MEX",2012,0.6452
"AUT","MEX",2013,0.9639
"AUT","MEX",2017,0.7091
"AUT","MEX",2018,0.1904
"AUT","MEX",2014,0.5964
"AUT","MEX",2016,0.414
"AUT","MKD",2004,0.9917
"AUT","MKD",2010,0.8194
"AUT","MKD",2009,0.9559
"AUT","MKD",2012,0.1741
"AUT","MKD",2006,0.1032
"AUT","MKD",2007,0.9657
"AUT","MKD",2008,0.5462
"AUT","MKD",2005,0.0
"AUT","MKD",2011,0.5525
"AUT","MMR",2013,0.0
"AUT","MMR",2017,0.3959
"AUT","MNE",2011,0.6509
"AUT","MNE",2010,0.1225
"AUT","MYS",2004,0.4524
"AUT","MYS",2003,0.0
"AUT","MYS",2010,0.7192
"AUT","MYS",2014,0.2315
"AUT","MYS",2015,0.8118
"AUT","MYS",2011,0.0043
"AUT","NOR",2006,0.5003
"AUT","NOR",2007,0.7321
"AUT","NOR",2014,0.3504
"AUT","NOR",2012,0.0081
"AUT","NZL",2011,0.0528
"AUT","NZL",2006,0.236
"AUT","NZL",2008,0.1466
"AUT","NZL",2018,0.5247
"AUT","NZL",2013,0.5425
"AUT","OMN",2004,0.4834
"AUT","OMN",2007,0.59
"AUT","OMN",2009,0.6322
"AUT","PAK",2003,0.1737
"AUT","PAK",2009,0.5339
"AUT","PAK",2013,0.0782
"AUT","PAN",2015,0.0954
"AUT","PER",2010,0.4199
"AUT","PER",2013,0.701
"AUT","PHL",2015,0.2485
"AUT","PHL",2017,0.6698
"AUT","QAT",2010,0.5844
"AUT","QAT",2004,0.2601
"AUT","QAT",2012,0.7603
"AUT","RUS",2004,0.722
"AUT","RUS",2005,0.1681
"AUT","RUS",2006,0.3325
"AUT","RUS",2007,0.7723
"AUT","RUS",2008,0.9375
"AUT","RUS",2009,0.7115
"AUT","RUS",2010,0.8696
"AUT","RUS",2011,0.6328
"AUT","RUS",2012,0.6048
"AUT","RUS",2013,0.1152
"AUT","RUS",2014,0.1175
"AUT","RUS",2017,0.6844
"AUT","RUS",2018,0.3108
"AUT","RUS",2003,0.0008
"AUT","RUS",2015,0.1584
"AUT","RUS",2016,0.1376
"AUT","SAU",2015,0.2878
"AUT","SAU",2007,0.274
"AUT","SAU",2008,0.6514
"AUT","SAU",2009,0.7483
"AUT","SAU",2014,0.2468
"AUT","SGP",2012,0.1997
"AUT","SGP",2009,0.186
"AUT","SGP",2013,0.7247
"AUT","SGP",2008,0.5527
"AUT","SGP",2015,0.5786
"AUT","SGP",2017,0.164
"AUT","SGP",2010,0.5542
"AUT","SGP",2011,0.1521
"AUT","SGP",2014,0.5614
"AUT","SGP",2007,0.0988
"AUT","SGP",2004,0.0155
"AUT","SGP",2018,0.0108
"AUT","SRB",2005,0.2562
"AUT","SRB",2007,0.3263
"AUT","SRB",2008,0.7463
"AUT","SRB",2009,0.788
"AUT","SRB",2010,0.7447
"AUT","SRB",2012,0.6653
"AUT","SRB",2013,0.1295
"AUT","SRB",2014,0.2955
"AUT","SRB",2015,0.3103
"AUT","SRB",2016,0.7694
"AUT","SRB",2017,0.5946
"AUT","SRB",2018,0.3931
"AUT","SRB",2011,0.866
"AUT","SRB",2004,0.0675
"AUT","SRB",2006,0.629
"AUT","SRB",2003,0.2426
"AUT","SYR",2007,0.7462
"AUT","THA",2018,0.251
"AUT","THA",2014,0.4375
"AUT","THA",2016,0.8469
"AUT","THA",2010,0.8697
"AUT","THA",2009,0.0651
"AUT","THA",2008,0.0691
"AUT","THA",2017,0.4651
"AUT","TUN",2008,0.4074
"AUT","TUN",2005,0.5828
"AUT","TUN",2014,0.7024
"AUT","TUN",2012,0.1892
"AUT","TUN",2006,0.637
"AUT","TUR",2007,0.2354
"AUT","TUR",2008,0.1125
"AUT","TUR",2013,0.0625
"AUT","TUR",2017,0.013
"AUT","TUR",2018,0.7399
"AUT","TUR",2012,0.9117
"AUT","TUR",2009,0.0852
"AUT","TUR",2010,0.6881
"AUT","TUR",2011,0.003
"AUT","TUR",2016,0.2451
"AUT","TUR",2015,0.5356
"AUT","TUR",2014,0.4705
"AUT","TUR",2003,0.1869
"AUT","TUR",2004,0.1412
"AUT","TWN",2013,0.8491
"AUT","TWN",2003,0.062
"AUT","TWN",2011,0.2153
"AUT","TWN",2007,0.0962
"AUT","TWN",2017,0.1114
"AUT","TZA",2018,0.4883
"AUT","UGA",2008,1.0
"AUT","UKR",2006,0.7199
