"iso2_o","iso2_d","year","p"
"AUT","ALB",2009,1.0
"AUT","ALB",2010,1.0
"AUT","ALB",2013,0.0
"AUT","ALB",2005,0.6426
"AUT","ALB",2018,0.4891
"AUT","ALB",2012,0.1393
"AUT","ALB",2006,0.1958
"AUT","ALB",2007,0.6369
"AUT","ARE",2008,0.0116
"AUT","ARE",2006,0.6009
"AUT","ARE",2003,0.0501
"AUT","ARE",2015,0.5502
"AUT","ARE",2007,0.3823
"AUT","ARE",2018,0.0006
"AUT","ARE",2010,0.2674
"AUT","ARE",2011,0.246
"AUT","ARE",2016,0.4655
"AUT","ARE",2009,0.1016
"AUT","ARE",2017,0.2568
"AUT","ARE",2005,0.0718
"AUT","ARE",2013,0.0508
"AUT","ARE",2004,0.7329
"AUT","ARE",2012,0.5658
"AUT","ARG",2008,0.2993
"AUT","ARG",2016,0.2548
"AUT","ARG",2011,0.0018
"AUT","ARM",2017,0.3297
"AUT","AUS",2017,0.5471
"AUT","AUS",2003,0.024
"AUT","AUS",2010,0.3375
"AUT","AUS",2012,0.5804
"AUT","AUS",2018,0.2076
"AUT","AUS",2008,0.5608
"AUT","AUS",2004,1.0
"AUT","AUT",2008,0.7296
"AUT","AZE",2009,0.0
"AUT","AZE",2007,0.7455
"AUT","AZE",2003,0.5505
"AUT","BEL",2004,0.2039
"AUT","BEL",2005,0.0062
"AUT","BEL",2007,0.0035
"AUT","BEL",2018,0.6521
"AUT","BEL",2009,0.2796
"AUT","BEL",2017,0.7551
"AUT","BEL",2012,0.0
"AUT","BEL",2015,0.7407
"AUT","BEL",2013,1.0
"AUT","BGD",2012,0.7203
"AUT","BGR",2006,0.972
"AUT","BGR",2004,0.7103
"AUT","BGR",2007,0.9777
"AUT","BGR",2009,0.9647
"AUT","BGR",2008,0.976
"AUT","BGR",2003,0.3072
"AUT","BGR",2005,0.9492
"AUT","BGR",2010,0.3747
"AUT","BGR",2011,0.8395
"AUT","BGR",2012,0.9146
"AUT","BGR",2013,0.6951
"AUT","BGR",2017,0.2137
"AUT","BGR",2015,0.7903
"AUT","BGR",2016,0.7108
"AUT","BGR",2014,0.0888
"AUT","BHR",2009,0.2981
"AUT","BHR",2008,0.2479
"AUT","BHR",2012,0.382
"AUT","BIH",2006,0.4017
"AUT","BIH",2007,0.3998
"AUT","BIH",2003,0.918
"AUT","BIH",2012,0.9832
"AUT","BIH",2017,0.9256
"AUT","BIH",2004,0.5674
"AUT","BIH",2009,0.707
"AUT","BIH",2010,0.7256
"AUT","BIH",2005,0.1722
"AUT","BIH",2015,0.2591
"AUT","BIH",2011,0.3265
"AUT","BIH",2013,0.5132
"AUT","BIH",2018,0.1307
"AUT","BIH",2008,0.0507
"AUT","BLR",2008,0.9714
"AUT","BLR",2012,0.2809
"AUT","BLR",2009,0.1349
"AUT","BLR",2010,0.4075
"AUT","BLR",2011,0.0756
"AUT","BLR",2013,0.1227
"AUT","BLR",2014,0.4013
"AUT","BLR",2015,0.5888
"AUT","BLR",2018,0.6645
"AUT","BLR",2006,0.0
"AUT","BLR",2003,0.0
"AUT","BRA",2006,0.3694
"AUT","BRA",2017,0.2199
"AUT","BRA",2010,0.0394
"AUT","BRA",2013,0.0449
"AUT","BRA",2003,0.2921
"AUT","BRA",2004,0.1064
"AUT","BRA",2011,0.4905
"AUT","BRA",2012,0.0332
"AUT","BRA",2016,0.177
"AUT","BRA",2015,0.0024
"AUT","BRA",2007,0.0038
"AUT","BRA",2018,0.0318
"AUT","BRA",2014,0.8945
"AUT","BWA",2012,0.9841
"AUT","CAN",2007,0.6828
"AUT","CAN",2010,0.6382
"AUT","CAN",2014,0.6206
"AUT","CAN",2004,0.8961
"AUT","CAN",2016,0.1795
"AUT","CAN",2017,0.0311
"AUT","CAN",2015,0.8763
"AUT","CAN",2009,0.2622
"AUT","CHE",2004,0.7688
"AUT","CHE",2011,0.7259
"AUT","CHE",2016,0.0395
"AUT","CHE",2005,1.0
"AUT","CHE",2009,0.8663
"AUT","CHE",2010,0.6361
"AUT","CHE",2006,0.0036
"AUT","CHE",2013,0.4627
"AUT","CHE",2003,0.1127
"AUT","CHE",2007,0.2088
"AUT","CHE",2008,0.8279
"AUT","CHE",2017,0.2041
"AUT","CHE",2015,0.0443
"AUT","CHE",2012,0.4211
"AUT","CHE",2014,0.1503
"AUT","CHL",2015,0.175
"AUT","CHL",2006,0.1954
"AUT","CHL",2013,0.5248
"AUT","CHL",2016,0.7223
"AUT","CHN",2016,0.3831
"AUT","CHN",2017,0.0099
"AUT","CHN",2003,0.5384
"AUT","CHN",2005,0.0136
"AUT","CHN",2008,0.126
"AUT","CHN",2010,0.8672
"AUT","CHN",2011,0.7511
"AUT","CHN",2012,0.3099
"AUT","CHN",2013,0.7483
"AUT","CHN",2014,0.1197
"AUT","CHN",2015,0.6745
"AUT","CHN",2004,0.7107
"AUT","CHN",2009,0.8421
"AUT","CHN",2007,0.2427
"AUT","CHN",2006,0.3233
"AUT","CHN",2018,0.428
"AUT","COL",2013,0.2942
"AUT","COL",2015,0.2115
"AUT","CRI",2009,0.7478
"AUT","CYP",2009,0.8516
"AUT","CYP",2008,0.6217
"AUT","CZE",2003,0.297
"AUT","CZE",2004,0.7278
"AUT","CZE",2011,0.9314
"AUT","CZE",2013,0.6308
"AUT","CZE",2015,0.3199
"AUT","CZE",2017,0.9462
"AUT","CZE",2010,0.4257
"AUT","CZE",2016,0.7782
"AUT","CZE",2007,0.6376
"AUT","CZE",2008,0.9886
"AUT","CZE",2009,0.1721
"AUT","CZE",2005,0.6673
"AUT","CZE",2006,0.6891
"AUT","CZE",2012,0.5905
"AUT","CZE",2018,0.8107
"AUT","CZE",2014,0.634
"AUT","DEU",2017,0.8623
"AUT","DEU",2003,0.5604
"AUT","DEU",2004,0.9106
"AUT","DEU",2008,0.0696
"AUT","DEU",2010,0.6506
"AUT","DEU",2011,0.8847
"AUT","DEU",2013,0.9796
"AUT","DEU",2015,0.7001
"AUT","DEU",2009,0.1856
"AUT","DEU",2012,0.9334
"AUT","DEU",2014,0.2731
"AUT","DEU",2016,0.892
"AUT","DEU",2018,0.7034
"AUT","DEU",2006,0.024
"AUT","DEU",2007,0.1
"AUT","DEU",2005,0.0755
"AUT","DNK",2008,0.1954
"AUT","DNK",2011,0.2396
"AUT","DNK",2016,1.0
"AUT","DNK",2012,0.6831
"AUT","DNK",2018,0.5976
"AUT","DZA",2011,0.0
"AUT","EGY",2009,0.4343
"AUT","EGY",2010,0.3159
"AUT","ESP",2009,0.7052
"AUT","ESP",2016,0.0783
"AUT","ESP",2018,0.1724
"AUT","ESP",2007,0.1304
"AUT","ESP",2012,0.4924
"AUT","ESP",2014,0.5702
"AUT","ESP",2008,0.0533
"AUT","ESP",2015,0.0454
"AUT","ESP",2010,0.4705
"AUT","ESP",2013,0.1786
"AUT","ESP",2003,0.3712
"AUT","ESP",2004,0.1298
"AUT","ESP",2011,0.8974
"AUT","EST",2005,0.0024
"AUT","EST",2006,0.175
"AUT","EST",2008,0.047
"AUT","EST",2013,0.5115
"AUT","EST",2004,0.0519
"AUT","EST",2012,0.3596
"AUT","EST",2009,0.278
"AUT","EST",2003,0.2866
"AUT","FIN",2012,0.1726
"AUT","FIN",2011,0.9123
"AUT","FIN",2017,0.53
"AUT","FIN",2018,0.0295
"AUT","FIN",2014,0.6
"AUT","FIN",2007,0.7256
"AUT","FIN",2013,0.3619
"AUT","FIN",2016,0.0289
"AUT","FRA",2015,0.4645
"AUT","FRA",2014,0.6377
"AUT","FRA",2008,0.005
"AUT","FRA",2018,0.6393
"AUT","FRA",2003,0.1636
"AUT","FRA",2005,0.1325
"AUT","FRA",2007,0.0444
"AUT","FRA",2010,0.1122
"AUT","FRA",2013,0.3459
"AUT","FRA",2011,0.2466
"AUT","FRA",2017,0.5011
"AUT","FRA",2004,0.0732
"AUT","FRA",2006,0.0003
"AUT","FRA",2012,0.0932
"AUT","FRA",2016,0.396
"AUT","FRA",2009,0.3596
"AUT","GBR",2008,0.0546
"AUT","GBR",2011,0.158
"AUT","GBR",2013,0.3931
"AUT","GBR",2018,0.23
"AUT","GBR",2012,0.9197
"AUT","GBR",2014,0.3001
"AUT","GBR",2015,0.2299
"AUT","GBR",2017,0.1511
