"iso2_o","iso2_d","year","p"
"AUT","ALB",2010,0.9922
"AUT","ALB",2014,0.0
"AUT","ALB",2006,0.9327
"AUT","ALB",2018,0.7008
"AUT","ALB",2012,0.2889
"AUT","ALB",2008,0.4186
"AUT","ARE",2008,0.0347
"AUT","ARE",2006,0.4508
"AUT","ARE",2004,0.0518
"AUT","ARE",2016,0.9422
"AUT","ARE",2018,0.0028
"AUT","ARE",2010,0.4729
"AUT","ARE",2012,0.3633
"AUT","ARE",2014,0.0392
"AUT","ARG",2008,0.1635
"AUT","ARG",2016,0.9007
"AUT","ARG",2012,0.0131
"AUT","ARM",2018,0.9893
"AUT","AUS",2018,0.2122
"AUT","AUS",2004,0.0141
"AUT","AUS",2010,0.1687
"AUT","AUS",2012,0.7091
"AUT","AUS",2008,0.5974
"AUT","AUT",2008,0.6531
"AUT","AZE",2010,0.0
"AUT","AZE",2008,0.7949
"AUT","AZE",2004,0.5762
"AUT","BEL",2004,0.0485
"AUT","BEL",2006,0.0097
"AUT","BEL",2008,0.0045
"AUT","BEL",2018,0.6981
"AUT","BEL",2010,0.3042
"AUT","BEL",2012,0.1813
"AUT","BEL",2016,0.692
"AUT","BEL",2014,0.8482
"AUT","BGD",2012,0.7911
"AUT","BGR",2006,0.9966
"AUT","BGR",2004,0.2228
"AUT","BGR",2008,0.9733
"AUT","BGR",2010,0.8634
"AUT","BGR",2012,0.8638
"AUT","BGR",2014,0.5428
"AUT","BGR",2018,0.8987
"AUT","BGR",2016,0.8215
"AUT","BHR",2010,0.148
"AUT","BHR",2008,0.2109
"AUT","BHR",2012,0.6951
"AUT","BIH",2006,0.3081
"AUT","BIH",2008,0.5335
"AUT","BIH",2004,0.6025
"AUT","BIH",2012,0.5337
"AUT","BIH",2018,0.7917
"AUT","BIH",2010,0.9679
"AUT","BIH",2016,0.726
"AUT","BIH",2014,0.4461
"AUT","BLR",2008,0.9861
"AUT","BLR",2012,0.1136
"AUT","BLR",2010,0.1616
"AUT","BLR",2014,0.0692
"AUT","BLR",2016,0.4631
"AUT","BLR",2018,0.5712
"AUT","BLR",2006,0.2233
"AUT","BLR",2004,0.4082
"AUT","BRA",2006,0.3406
"AUT","BRA",2018,0.0036
"AUT","BRA",2010,0.0052
"AUT","BRA",2014,0.0194
"AUT","BRA",2004,0.2077
"AUT","BRA",2012,0.0628
"AUT","BRA",2016,0.1463
"AUT","BRA",2008,0.008
"AUT","BWA",2012,0.2401
"AUT","CAN",2008,0.5126
"AUT","CAN",2010,0.2164
"AUT","CAN",2014,0.8761
"AUT","CAN",2004,0.6071
"AUT","CAN",2016,0.8153
"AUT","CAN",2018,0.0443
"AUT","CHE",2004,0.2933
"AUT","CHE",2012,0.8423
"AUT","CHE",2016,0.0113
"AUT","CHE",2006,0.0093
"AUT","CHE",2010,0.7123
"AUT","CHE",2014,0.4671
"AUT","CHE",2008,0.505
"AUT","CHE",2018,0.1219
"AUT","CHL",2016,0.7428
"AUT","CHL",2006,0.0
"AUT","CHL",2014,0.577
"AUT","CHN",2016,0.5059
"AUT","CHN",2018,0.1104
"AUT","CHN",2004,0.9798
"AUT","CHN",2006,0.1936
"AUT","CHN",2008,0.4766
"AUT","CHN",2010,0.9895
"AUT","CHN",2012,0.7674
"AUT","CHN",2014,0.5514
"AUT","COL",2014,0.2545
"AUT","COL",2016,0.2725
"AUT","CRI",2010,0.7644
"AUT","CYP",2010,0.4873
"AUT","CYP",2008,0.8449
"AUT","CZE",2004,0.8688
"AUT","CZE",2012,0.8533
"AUT","CZE",2014,0.7639
"AUT","CZE",2016,0.8166
"AUT","CZE",2018,0.9655
"AUT","CZE",2010,0.4539
"AUT","CZE",2008,0.8422
"AUT","CZE",2006,0.5334
"AUT","DEU",2018,0.8684
"AUT","DEU",2004,0.8628
"AUT","DEU",2008,0.484
"AUT","DEU",2010,0.5536
"AUT","DEU",2012,0.9985
"AUT","DEU",2014,0.957
"AUT","DEU",2016,0.9925
"AUT","DEU",2006,0.0309
"AUT","DNK",2008,0.1082
"AUT","DNK",2012,0.8248
"AUT","DNK",2016,0.6285
"AUT","DNK",2018,0.3863
"AUT","DZA",2012,0.0
"AUT","EGY",2010,0.386
"AUT","ESP",2010,0.8274
"AUT","ESP",2016,0.2687
"AUT","ESP",2018,0.1508
"AUT","ESP",2008,0.1244
"AUT","ESP",2012,0.5285
"AUT","ESP",2014,0.6007
"AUT","ESP",2004,0.2875
"AUT","EST",2006,0.0011
"AUT","EST",2008,0.0115
"AUT","EST",2014,0.2488
"AUT","EST",2004,0.1068
"AUT","EST",2012,0.1211
"AUT","EST",2010,0.3342
"AUT","FIN",2012,0.6233
"AUT","FIN",2018,0.0617
