"iso2_o","iso2_d","year","p"
"AUT","ALB",2006,1.0
"AUT","ALB",2009,0.0
"AUT","ALB",2018,0.2408
"AUT","ALB",2007,0.8226
"AUT","ALB",2012,0.2138
"AUT","ALB",2005,0.6356
"AUT","ALB",2010,1.0
"AUT","ALB",2013,0.0
"AUT","ARE",2006,0.5103
"AUT","ARE",2007,0.2189
"AUT","ARE",2011,0.4887
"AUT","ARE",2013,0.2696
"AUT","ARE",2015,0.1912
"AUT","ARE",2018,0.0218
"AUT","ARE",2003,0.0188
"AUT","ARE",2016,0.5996
"AUT","ARE",2010,0.593
"AUT","ARE",2005,0.3078
"AUT","ARE",2009,0.0632
"AUT","ARE",2017,0.35
"AUT","ARE",2004,0.4976
"AUT","ARE",2012,0.7154
"AUT","ARE",2008,0.1101
"AUT","ARG",2008,0.1679
"AUT","ARG",2016,0.8615
"AUT","ARG",2011,0.0004
"AUT","ARM",2017,0.3281
"AUT","AUS",2003,0.0
"AUT","AUS",2018,0.1107
"AUT","AUS",2004,0.5542
"AUT","AUS",2008,0.5786
"AUT","AUS",2017,0.1412
"AUT","AUS",2010,0.4325
"AUT","AUS",2012,0.2821
"AUT","AUT",2008,0.3936
"AUT","AZE",2009,0.2541
"AUT","AZE",2007,0.7444
"AUT","AZE",2003,0.8051
"AUT","BEL",2004,0.0737
"AUT","BEL",2005,0.1043
"AUT","BEL",2007,0.1348
"AUT","BEL",2009,0.414
"AUT","BEL",2018,0.6047
"AUT","BEL",2017,0.8839
"AUT","BEL",2012,0.1789
"AUT","BEL",2013,0.7236
"AUT","BEL",2015,0.3849
"AUT","BGD",2012,0.71
"AUT","BGR",2004,0.6124
"AUT","BGR",2005,0.992
"AUT","BGR",2006,0.8657
"AUT","BGR",2007,0.5852
"AUT","BGR",2008,0.9573
"AUT","BGR",2009,0.8741
"AUT","BGR",2010,0.3986
"AUT","BGR",2015,0.4939
"AUT","BGR",2012,0.7893
"AUT","BGR",2017,0.4448
"AUT","BGR",2003,0.1679
"AUT","BGR",2011,0.7881
"AUT","BGR",2016,0.2061
"AUT","BGR",2014,0.1414
"AUT","BGR",2013,0.5925
"AUT","BHR",2008,0.1961
"AUT","BHR",2009,0.7319
"AUT","BHR",2012,0.5242
"AUT","BIH",2004,0.8037
"AUT","BIH",2007,0.2629
"AUT","BIH",2009,0.3584
"AUT","BIH",2010,0.4719
"AUT","BIH",2011,0.4911
"AUT","BIH",2015,0.386
"AUT","BIH",2018,0.0366
"AUT","BIH",2003,0.8614
"AUT","BIH",2005,0.1194
"AUT","BIH",2006,0.7888
"AUT","BIH",2012,0.941
"AUT","BIH",2013,0.4233
"AUT","BIH",2017,0.8749
"AUT","BIH",2008,0.435
"AUT","BLR",2012,0.4076
"AUT","BLR",2010,0.214
"AUT","BLR",2009,0.5347
"AUT","BLR",2011,0.2743
"AUT","BLR",2013,0.6138
"AUT","BLR",2015,0.1274
"AUT","BLR",2006,0.3345
"AUT","BLR",2008,0.8661
"AUT","BLR",2014,0.3968
"AUT","BLR",2018,1.0
"AUT","BLR",2003,0.0
"AUT","BRA",2007,0.0198
"AUT","BRA",2010,0.3121
"AUT","BRA",2003,0.1506
"AUT","BRA",2014,0.4699
"AUT","BRA",2006,0.4272
"AUT","BRA",2016,0.1045
"AUT","BRA",2004,0.0895
"AUT","BRA",2011,0.2585
"AUT","BRA",2012,0.4415
"AUT","BRA",2013,0.1585
"AUT","BRA",2015,0.1402
"AUT","BRA",2017,0.27
"AUT","BRA",2018,0.0183
"AUT","BWA",2012,0.9852
"AUT","CAN",2014,0.2193
"AUT","CAN",2007,0.1418
"AUT","CAN",2010,0.6084
"AUT","CAN",2015,0.9475
"AUT","CAN",2017,0.3111
"AUT","CAN",2004,1.0
"AUT","CAN",2016,0.1176
"AUT","CAN",2009,0.0561
"AUT","CHE",2010,0.2352
"AUT","CHE",2009,0.8662
"AUT","CHE",2013,0.1301
"AUT","CHE",2003,0.1534
"AUT","CHE",2006,0.0228
"AUT","CHE",2007,0.0982
"AUT","CHE",2008,0.5285
"AUT","CHE",2011,0.7224
"AUT","CHE",2017,0.1727
"AUT","CHE",2004,0.8315
"AUT","CHE",2012,0.3415
"AUT","CHE",2015,0.4734
"AUT","CHE",2005,0.4534
"AUT","CHE",2016,0.0158
"AUT","CHE",2014,0.0756
"AUT","CHL",2013,0.5221
"AUT","CHL",2016,0.6563
"AUT","CHL",2015,0.2029
"AUT","CHL",2006,0.4904
"AUT","CHN",2003,0.3627
"AUT","CHN",2004,0.9796
"AUT","CHN",2010,0.5581
"AUT","CHN",2012,0.8411
"AUT","CHN",2013,0.6849
"AUT","CHN",2008,0.1912
"AUT","CHN",2014,0.6195
"AUT","CHN",2009,0.3814
"AUT","CHN",2015,0.2123
"AUT","CHN",2006,0.3268
"AUT","CHN",2005,0.1369
"AUT","CHN",2007,0.3661
"AUT","CHN",2016,0.3802
"AUT","CHN",2017,0.0006
"AUT","CHN",2011,0.7545
"AUT","CHN",2018,0.2753
"AUT","COL",2013,0.5295
"AUT","COL",2015,0.5904
"AUT","CRI",2009,0.4824
"AUT","CYP",2009,0.9897
"AUT","CYP",2008,0.8992
"AUT","CZE",2003,0.2267
"AUT","CZE",2004,0.9013
"AUT","CZE",2005,0.3483
"AUT","CZE",2006,0.6772
"AUT","CZE",2007,0.5129
"AUT","CZE",2008,0.9463
"AUT","CZE",2010,0.5766
"AUT","CZE",2011,0.965
"AUT","CZE",2013,0.5009
"AUT","CZE",2014,0.3733
"AUT","CZE",2017,0.8859
"AUT","CZE",2018,0.6216
"AUT","CZE",2012,0.897
"AUT","CZE",2009,0.2332
"AUT","CZE",2015,0.1768
"AUT","CZE",2016,0.8409
"AUT","DEU",2007,0.5252
"AUT","DEU",2008,0.2883
"AUT","DEU",2009,0.6445
"AUT","DEU",2010,0.9169
"AUT","DEU",2011,0.9712
"AUT","DEU",2012,0.9512
"AUT","DEU",2013,0.6816
"AUT","DEU",2014,0.3657
"AUT","DEU",2015,0.7915
"AUT","DEU",2016,0.9996
"AUT","DEU",2017,0.8082
"AUT","DEU",2018,0.8773
"AUT","DEU",2003,0.3432
"AUT","DEU",2004,0.9228
"AUT","DEU",2006,0.0907
"AUT","DEU",2005,0.2289
"AUT","DNK",2008,0.0516
"AUT","DNK",2016,0.3141
"AUT","DNK",2011,0.8433
"AUT","DNK",2018,0.6131
"AUT","DNK",2012,0.2533
"AUT","DZA",2011,0.0
"AUT","EGY",2010,0.4637
"AUT","EGY",2009,0.5124
"AUT","ESP",2016,0.0028
"AUT","ESP",2007,0.1142
"AUT","ESP",2008,0.017
"AUT","ESP",2009,0.9674
"AUT","ESP",2011,0.824
"AUT","ESP",2018,0.5911
"AUT","ESP",2012,0.555
"AUT","ESP",2013,0.2063
"AUT","ESP",2003,0.1078
"AUT","ESP",2014,0.3852
"AUT","ESP",2015,0.1097
"AUT","ESP",2004,0.0333
"AUT","ESP",2010,0.4027
"AUT","EST",2005,0.0772
"AUT","EST",2006,0.1063
"AUT","EST",2009,0.1289
"AUT","EST",2003,0.5999
"AUT","EST",2013,0.0
"AUT","EST",2008,0.1107
"AUT","EST",2004,0.0746
"AUT","EST",2012,0.5055
"AUT","FIN",2011,0.7913
"AUT","FIN",2016,0.1297
"AUT","FIN",2014,0.0331
"AUT","FIN",2007,0.5778
"AUT","FIN",2012,0.077
"AUT","FIN",2018,0.0867
"AUT","FIN",2013,0.1076
"AUT","FIN",2017,0.2108
"AUT","FRA",2003,0.2116
"AUT","FRA",2004,0.0347
"AUT","FRA",2005,0.1508
"AUT","FRA",2007,0.3034
"AUT","FRA",2008,0.0109
"AUT","FRA",2010,0.4466
"AUT","FRA",2013,0.2401
"AUT","FRA",2015,0.9138
"AUT","FRA",2018,0.884
"AUT","FRA",2006,0.0
"AUT","FRA",2012,0.0821
"AUT","FRA",2016,0.4424
"AUT","FRA",2011,0.4609
"AUT","FRA",2009,0.3729
"AUT","FRA",2014,0.5193
"AUT","FRA",2017,0.3361
"AUT","GBR",2009,0.119
"AUT","GBR",2010,0.068
"AUT","GBR",2016,0.1547
"AUT","GBR",2017,0.4085
"AUT","GBR",2018,0.095
"AUT","GBR",2008,0.1181
"AUT","GBR",2012,0.9434
"AUT","GBR",2005,0.6268
"AUT","GBR",2013,0.278
"AUT","GBR",2007,0.6698
"AUT","GBR",2014,0.2354
"AUT","GBR",2011,0.0339
"AUT","GBR",2015,0.7736
"AUT","GBR",2006,0.0985
"AUT","GBR",2003,0.0232
"AUT","GBR",2004,0.0237
"AUT","GEO",2014,0.9902
"AUT","GEO",2005,0.7296
"AUT","GEO",2003,0.0
"AUT","GEO",2007,0.6532
"AUT","GEO",2012,0.3821
"AUT","GEO",2018,0.7394
"AUT","GRC",2008,0.1461
"AUT","GRC",2018,0.1381
"AUT","GRC",2007,0.4999
"AUT","GRC",2016,0.2975
"AUT","GRC",2006,0.1264
"AUT","HKG",2010,0.3734
"AUT","HKG",2004,0.1625
"AUT","HKG",2013,0.7862
"AUT","HKG",2018,0.4962
"AUT","HKG",2007,0.2972
"AUT","HKG",2017,0.7988
"AUT","HKG",2008,0.2312
"AUT","HKG",2006,0.7694
"AUT","HKG",2005,0.0595
"AUT","HKG",2015,0.1655
"AUT","HRV",2003,0.9461
"AUT","HRV",2004,0.6202
"AUT","HRV",2005,0.8294
"AUT","HRV",2006,0.9916
"AUT","HRV",2007,0.8706
"AUT","HRV",2008,0.5975
"AUT","HRV",2009,0.7613
"AUT","HRV",2010,0.0902
"AUT","HRV",2011,0.2384
"AUT","HRV",2012,0.9801
"AUT","HRV",2013,0.9712
"AUT","HRV",2014,1.0
"AUT","HRV",2018,1.0
"AUT","HRV",2015,0.0356
"AUT","HUN",2003,0.5441
"AUT","HUN",2004,0.2494
"AUT","HUN",2005,0.8065
"AUT","HUN",2006,0.966
"AUT","HUN",2007,0.7015
"AUT","HUN",2008,0.9998
"AUT","HUN",2009,0.5462
"AUT","HUN",2010,0.943
"AUT","HUN",2011,0.9983
"AUT","HUN",2012,0.0874
"AUT","HUN",2015,0.9969
"AUT","HUN",2017,0.8625
"AUT","HUN",2018,0.5298
"AUT","HUN",2014,0.1053
"AUT","HUN",2013,0.4431
"AUT","HUN",2016,0.6844
"AUT","IDN",2017,0.3592
"AUT","IDN",2010,0.8479
"AUT","IDN",2012,0.4808
"AUT","IDN",2013,0.6559
"AUT","IDN",2009,0.2339
"AUT","IDN",2003,0.1597
"AUT","IDN",2007,0.064
"AUT","IDN",2018,0.1652
"AUT","IND",2007,0.3096
"AUT","IND",2008,0.0772
"AUT","IND",2017,0.0427
"AUT","IND",2009,0.0255
"AUT","IND",2010,0.3756
"AUT","IND",2011,0.4524
"AUT","IND",2013,0.0791
"AUT","IND",2012,0.2185
"AUT","IND",2018,0.0133
"AUT","IND",2014,0.6675
"AUT","IND",2016,0.2557
"AUT","IND",2005,0.4012
"AUT","IND",2006,0.0601
"AUT","IND",2004,0.7641
"AUT","IND",2015,0.0206
"AUT","IRL",2016,0.0692
"AUT","IRL",2011,0.0
"AUT","IRL",2003,0.0014
"AUT","IRN",2016,0.0764
"AUT","IRN",2003,0.1164
"AUT","IRN",2009,0.0
"AUT","IRQ",2003,0.0
"AUT","ISR",2011,0.2921
"AUT","ITA",2010,0.0145
"AUT","ITA",2004,0.5047
"AUT","ITA",2007,0.8307
"AUT","ITA",2008,0.3998
"AUT","ITA",2003,0.3265
"AUT","ITA",2005,0.3842
