"iso2_o","iso2_d","year","p"
"AT","AD",2001,0.6126
"AT","AD",2002,0.4271
"AT","AD",2003,0.0729
"AT","AD",2004,0.0063
"AT","AD",2005,0.0953
"AT","AD",2006,0.4231
"AT","AD",2007,0.1322
"AT","AD",2008,0.1605
"AT","AD",2009,0.5985
"AT","AD",2010,0.402
"AT","AD",2011,0.2956
"AT","AD",2012,0.2395
"AT","AD",2013,0.4432
"AT","AD",2014,0.2545
"AT","AD",2015,0.2321
"AT","AD",2016,0.2712
"AT","AD",2017,0.3798
"BE","AD",2001,0.1246
"BE","AD",2002,0.5126
"BE","AD",2003,0.3296
"BE","AD",2004,0.9285
"BE","AD",2005,0.9857
"BE","AD",2006,0.8145
"BE","AD",2007,0.4734
"BE","AD",2008,0.9269
"BE","AD",2009,0.7057
"BE","AD",2010,0.712
"BE","AD",2011,0.6204
"BE","AD",2012,0.785
"BE","AD",2013,0.4607
"BE","AD",2014,0.4159
"BE","AD",2015,0.0055
"BE","AD",2016,0.5577
"BE","AD",2017,0.0903
"BG","AD",2001,0.5166
"BG","AD",2002,0.3156
"BG","AD",2003,0.7824
"BG","AD",2004,0.9026
"BG","AD",2005,0.8877
"BG","AD",2006,0.3458
"BG","AD",2007,0.6676
"BG","AD",2009,0.9599
"BG","AD",2010,0.0044
"BG","AD",2011,0.5501
"BG","AD",2012,0.3486
"BG","AD",2013,0.0375
"BG","AD",2014,0.889
"BG","AD",2015,0.842
"BG","AD",2016,0.9435
"BG","AD",2017,0.9454
"CY","AD",2001,0.6158
"CY","AD",2002,0.8898
"CY","AD",2005,0.2126
"CY","AD",2006,0.7443
"CY","AD",2007,0.9369
"CY","AD",2009,0.0027
"CY","AD",2010,0.5903
"CY","AD",2011,0.5987
"CY","AD",2012,0.3531
"CY","AD",2013,0.6833
"CY","AD",2014,0.7686
"CY","AD",2015,0.8441
"CY","AD",2016,0.7341
"CY","AD",2017,0.9021
"CZ","AD",2001,0.9022
"CZ","AD",2002,0.7686
"CZ","AD",2003,0.2785
"CZ","AD",2004,0.0
"CZ","AD",2005,0.0
"CZ","AD",2006,0.0
"CZ","AD",2007,0.1807
"CZ","AD",2008,0.3704
"CZ","AD",2009,0.2811
"CZ","AD",2010,0.9211
"CZ","AD",2011,0.9285
"CZ","AD",2012,0.1325
"CZ","AD",2013,0.5219
"CZ","AD",2014,0.6556
"CZ","AD",2015,0.7899
"CZ","AD",2016,0.6401
"CZ","AD",2017,0.0
"DE","AD",2001,0.2088
"DE","AD",2002,0.3727
"DE","AD",2003,0.8477
"DE","AD",2004,0.9915
"DE","AD",2005,0.8124
"DE","AD",2006,0.9426
"DE","AD",2007,0.5826
"DE","AD",2008,0.9721
"DE","AD",2009,0.9169
"DE","AD",2010,0.6458
"DE","AD",2011,0.4531
"DE","AD",2012,0.5533
"DE","AD",2013,0.6418
"DE","AD",2014,0.7562
"DE","AD",2015,0.9299
"DE","AD",2016,0.4756
"DE","AD",2017,0.7271
"DK","AD",2001,0.0014
"DK","AD",2002,0.0185
"DK","AD",2003,0.055
"DK","AD",2004,0.6142
"DK","AD",2005,0.8889
"DK","AD",2006,0.4396
"DK","AD",2007,0.2409
"DK","AD",2008,0.5384
"DK","AD",2009,0.225
"DK","AD",2010,0.8537
"DK","AD",2011,0.878
"DK","AD",2012,0.2301
"DK","AD",2013,0.3441
"DK","AD",2014,0.9695
"DK","AD",2015,0.3477
"DK","AD",2016,0.4153
"DK","AD",2017,0.5299
"EE","AD",2001,0.0037
"EE","AD",2002,0.0
"EE","AD",2003,0.4587
"EE","AD",2005,0.435
"EE","AD",2007,0.5041
"EE","AD",2008,0.6702
"EE","AD",2010,0.8717
"EE","AD",2012,0.343
"EE","AD",2013,0.4031
"EE","AD",2014,0.5291
"EE","AD",2015,0.743
"EE","AD",2016,0.9714
